"","Abies","Alnus","Amaranthaceae","Apiaceae","Artemisia","Asteroideae","Betula","Boraginaceae","Brassicaceae","Buxus","Cannabaceae","Carpinus","Caryophyllaceae","Centaurea-type","Cichorioideae","Cistus","Convolvulus","Coriaria myrtifolia","Corylus","Crassulaceae","Cyperaceae","Dipsacoideae","Ephedra","Ericaceae","Euphorbia","Fabaceae","Fagus","Geraniaceae","Hedera","Helianthemum","Juglans","Juniperus","Lamiaceae","Ligustrum","Lotus","Lygeum-type","Lythrum","Malvaceae","Myriophyllum","Myrtaceae","Nuphar","Nymphaea","Olea","Phillyrea","Pinus","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Polygonum","Populus","Potamogeton","Quercus ilex-type","Quercus robur-type","Ranunculaceae","Rhamnus","Rosaceae","Rubiaceae","Rumex","Salix","Sparganium-type","Tamarix","Thalictrum","Thymelaea","Tilia","Typha latifolia-type","Ulmus","Urticaceae","Vitis","Cal_yrs_BP","min","max"
"S411730","","3","","112","9","168","","","3","29","","","","","","","","","9","","","","20","20","","3","","2","","","","24","","","","","","","","","","","15","3","1","","4","2","","","","5","8","5","","","","","","","15","","","4","","","","","1","5044","5176","4909"
"S411731","","1","7","85","6","134","4","","","26","1","","","","","","1","","11","","","","22","20","","4","","","","","","34","4","","","","","","","","","","21","5","4","1","3","4","","","","","12","6","1","1","","","","","16","","","3","","","3","","","5104","5229","4976"
"S411732","","4","3","78","","104","2","","","25","","1","","","","","","","12","","","","10","28","","3","","","","","","57","2","","","","","","","","","","16","5","6","","7","15","","","","","9","","","","","","","1","16","","","2","","","1","","","5144","5265","5020"
"S411733","","9","3","134","1","180","","","","17","1","","","","","","","","7","","4","","24","9","","3","","","2","","","23","","","","2","","","","","","","19","1","","","3","3","","1","","3","10","","","","","","","","19","","","5","","","","2","","5223","5341","5107"
"S411734","","7","3","82","7","151","2","","","29","","","","","","","","","9","","1","","30","18","","3","","","","","","45","","","","","","","","","","","28","4","7","2","3","11","1","","","1","17","6","1","","","","","","21","","","5","3","","","","","5303","5424","5193"
"S411735","","5","5","59","","105","1","","","26","","","","","","","","","14","","","","10","25","","1","","","","1","","38","","","","","","","","","","","10","3","8","","4","23","","2","","","6","","1","","","","","","21","","","","","","","","","5383","5512","5279"
"S411736","","8","","71","","125","1","","","6","","1","","","","","","","15","","1","","46","15","","1","","1","","","","13","","","","2","","","","","","","2","","5","","3","5","","","","1","7","","","","","","","","8","","","3","2","","","","","5462","5624","5363"
"S411737","","","2","30","2","52","","","","26","","","","","3","","","","6","","1","","16","18","","2","","","","","","34","3","","","","","","","","","","3","","14","1","2","23","1","","","","2","","2","","1","","","","23","","","3","","","1","","","5542","5717","5446"
"S411738","","5","","28","2","60","","","","22","","","","","","","","","8","","2","","27","10","","","","","1","","","27","7","","","","","","","","","","8","","16","3","","20","","2","","","","3","3","","","","","","13","","","2","2","","","","","5621","5806","5526"
"S411739","","4","","83","1","125","1","","","17","","","","","","","","","9","","3","","61","22","1","1","","","","","","14","","","","","","","","","","","","","9","","3","1","","","","","6","2","","","","","","","15","","","12","","","","","","5681","5874","5582"
