"","Ericaceae","Myrica.faya","Lauraceae","Prunus.cf..P..lusitanica","Picconia.cf..P..excelsa","Ilex","Sambucus.cf..S..palmensis","Visnea.cf..V..mocanera","Salix.canariensis","Juniperus","Pistacia","Phoenix.canariensis","Pinus.canariensis","Cistus","Echium","Convolvulus","Urticaceae","Hypericum","Asteraceae.undiff","Argyranthemum.type","Euphorbiaceae","Artemisia","Rumex","Poaceae.","Stachys.cf","Ixanthus","Lamiaceae","Liliaceae","Chenopodiaceae","Reseda.type","Galium.type","Geranium.type","Viola","Allium.type","Scrophulariaceae","Aeonium.type","Quercus","Ranunculus","Pterydophyta.undiff.","Equisetum.","Davallia","Polypodium","Ophioglossum","Spore.trilete","Typha.type","Cal_yrs_BP","min","max"
"NA..22",0.1953125,0.0625,0.0078125,0,0.046875,0,0,0.0078125,0.03125,0.015625,0,0.0546875,0.0078125,0.0625,0.015625,0,0.0234375,0,0.0078125,0,0,0,0,0.203125,0,0,0,0,0,0,0.0078125,0.015625,0,0,0,0,0,0,0.1015625,0,0,0,0.1328125,0,0,5208,NA,NA
"NA..23",0.138888888888889,0.0277777777777778,0.00925925925925926,0.00925925925925926,0.12037037037037,0.0185185185185185,0,0,0.0277777777777778,0,0,0.240740740740741,0.0648148148148148,0,0.00925925925925926,0,0.037037037037037,0,0.00925925925925926,0,0,0,0,0.175925925925926,0,0,0.00925925925925926,0.00925925925925926,0,0,0,0,0,0.00925925925925926,0,0.0185185185185185,0,0,0.0277777777777778,0,0,0.00925925925925926,0.0277777777777778,0,0,5793.5,NA,NA
"NA..24",0.0560747663551402,0.00934579439252336,0,0,0.168224299065421,0,0,0,0.177570093457944,0.00934579439252336,0.0186915887850467,0.308411214953271,0.0186915887850467,0.0280373831775701,0.0373831775700935,0,0.0467289719626168,0,0,0,0,0.00934579439252336,0,0.0373831775700935,0,0,0,0.0186915887850467,0,0,0,0,0,0,0,0,0,0,0.0373831775700935,0,0.00934579439252336,0,0.00934579439252336,0,0,6383,NA,NA
"NA..25",0.0485436893203883,0.058252427184466,0.00970873786407767,0.00970873786407767,0,0,0,0.00970873786407767,0.242718446601942,0,0,0.271844660194175,0,0,0,0,0.12621359223301,0,0.029126213592233,0.00970873786407767,0,0,0,0.135922330097087,0,0,0,0,0.00970873786407767,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029126213592233,0.00970873786407767,0,6971,NA,NA
"NA..26",0.00934579439252336,0.0280373831775701,0,0,0,0,0,0,0.196261682242991,0,0,0.289719626168224,0,0,0,0,0.280373831775701,0,0.0467289719626168,0.00934579439252336,0,0,0,0.0560747663551402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0747663551401869,0,0,0,0.00934579439252336,0,0,7396,NA,NA
"NA..27",0.0462962962962963,0.00925925925925926,0,0,0.12037037037037,0,0,0,0.194444444444444,0.00925925925925926,0,0.305555555555556,0.00925925925925926,0.00925925925925926,0.0277777777777778,0,0.0925925925925926,0,0.0277777777777778,0,0,0.00925925925925926,0,0.0555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037037037037037,0,0,0,0.037037037037037,0.00925925925925926,0,7639,NA,NA
"NA..28",0.0091743119266055,0.0275229357798165,0,0,0,0,0,0,0.321100917431193,0.0091743119266055,0,0.18348623853211,0,0,0,0,0.211009174311927,0,0.055045871559633,0.0091743119266055,0,0,0,0.073394495412844,0,0,0,0,0.0091743119266055,0,0,0,0,0,0,0,0,0,0.0917431192660551,0,0,0,0,0,0,7884,NA,NA
"NA..29",0.0336134453781513,0.00840336134453782,0,0,0.168067226890756,0.0168067226890756,0,0,0.0756302521008403,0,0.0168067226890756,0.285714285714286,0.0252100840336134,0,0.0252100840336134,0.00840336134453782,0.0672268907563025,0,0,0,0,0,0,0.0756302521008403,0,0,0,0,0,0,0,0,0,0.00840336134453782,0,0,0,0.00840336134453782,0.092436974789916,0,0,0,0,0.0840336134453782,0,8130.5,NA,NA
"NA..30",0.00980392156862745,0.0196078431372549,0,0,0,0,0,0,0.274509803921569,0.0294117647058824,0,0.235294117647059,0,0,0,0,0.264705882352941,0,0.107843137254902,0,0,0,0,0.0294117647058824,0,0,0,0,0,0.00980392156862745,0,0,0,0,0,0,0,0,0.0196078431372549,0,0,0,0,0,0,8380,NA,NA
"NA..31",0.0404040404040404,0.0707070707070707,0.0101010101010101,0,0,0,0,0.0101010101010101,0.303030303030303,0.0303030303030303,0,0.181818181818182,0,0,0.0303030303030303,0,0.161616161616162,0,0.0303030303030303,0.0202020202020202,0,0,0,0.0909090909090909,0,0,0,0.0101010101010101,0,0.0101010101010101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8541.5,NA,NA
"NA..32",0.0761904761904762,0.0952380952380952,0,0,0,0.00952380952380952,0,0,0.2,0.0380952380952381,0,0.123809523809524,0.00952380952380952,0,0,0,0.133333333333333,0.00952380952380952,0.0571428571428571,0,0,0,0,0.19047619047619,0,0,0,0,0.00952380952380952,0.00952380952380952,0.00952380952380952,0,0,0,0,0,0,0,0.00952380952380952,0,0,0,0.019047619047619,0,0,8698.5,NA,NA
"NA..33",0.0841121495327103,0.0654205607476636,0.00934579439252336,0,0.177570093457944,0,0,0,0.0280373831775701,0,0,0.271028037383178,0.0186915887850467,0.0280373831775701,0,0,0.0467289719626168,0,0,0,0,0,0,0.130841121495327,0,0,0,0.0280373831775701,0,0,0,0.0186915887850467,0,0,0,0.00934579439252336,0,0,0,0,0,0.00934579439252336,0.0467289719626168,0.0280373831775701,0,8863.5,NA,NA
"NA..34",0.128440366972477,0.0642201834862385,0.0091743119266055,0,0.155963302752294,0,0,0,0.0275229357798165,0,0,0.256880733944954,0.018348623853211,0.018348623853211,0.073394495412844,0,0.0275229357798165,0,0,0,0,0,0,0.0825688073394495,0,0,0,0.0091743119266055,0,0,0,0.0275229357798165,0,0,0,0,0.0091743119266055,0,0,0,0.0091743119266055,0.0091743119266055,0.073394495412844,0,0,9027,NA,NA
"NA..35",0.0280373831775701,0.0560747663551402,0.00934579439252336,0,0,0,0.0186915887850467,0.00934579439252336,0.261682242990654,0,0,0.401869158878505,0,0,0.0186915887850467,0,0.0560747663551402,0,0.00934579439252336,0.00934579439252336,0,0,0,0.0373831775700935,0.0186915887850467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00934579439252336,0.00934579439252336,0.0467289719626168,0,9191.5,NA,NA
"NA..36",0,0,0,0,0.145631067961165,0.0194174757281553,0.00970873786407767,0,0.213592233009709,0,0,0.398058252427184,0,0,0.00970873786407767,0,0.0776699029126214,0,0.058252427184466,0,0,0,0,0.00970873786407767,0,0,0,0.029126213592233,0,0,0,0,0,0,0,0,0,0,0,0,0.0194174757281553,0,0,0.00970873786407767,0,9317,NA,NA
