"","Quercus","Carpinus.cf..betulus","Pinus.cf..canariensis","Erica.arborea","Myrica.cf..faya","Lauraceae","Picconia.cf..excelsa","Prunus.cf..lusitanica","Viburnum.cf..rigidum","Sambucus.cf..palmensis","Visnea.cf..mocanera","Ilex","Sideroxylon.cf..mirmulano","Maytenus.cf..canariensis","Pistacia","Olea","Juniperus","Phoenix.cf..canariensis","Dracaena.cf..draco","Chamaecytisus","Adenocarpus","Cistus","Daphne.cf..gnidium","Convolvulus","Hypericum","Bituminaria.cf..bituminosa","Echium","Artemisia","Rumex","Canarina.cf..canariensis","Pericallis","Cedronella","Asphodelus","Lamiaceae","Scrophulariaceae","Rubiaceae","Plantaginaceae","Chenopodiaceae","Fumariaceae","Apiaceae","Allium","Caryophyllaceae","Trifolium","Erodium","Asteracaeae","Poaceae","Salix.cf..canariensis","Ranunculus","Carex","Juncus","Typha.dominguensis","Pteridophyta","Cal_yrs_BP","min","max"
"2032",0.106749311294766,0.108815426997245,0.0179063360881543,0.0227272727272727,0.113636363636364,0.0275482093663912,0.0117079889807163,0.0158402203856749,0.0179063360881543,0.00206611570247934,0.00206611570247934,0.00895316804407714,0,0.00206611570247934,0,0.00206611570247934,0.0247933884297521,0.0179063360881543,0,0,0.00482093663911846,0.00206611570247934,0,0,0,0,0.00206611570247934,0,0,0,0,0,0,0,0,0,0.0227272727272727,0.0247933884297521,0,0.00482093663911846,0,0,0,0,0.0247933884297521,0.0957300275482094,0.0778236914600551,0.161845730027548,0.0158402203856749,0.00482093663911846,0,0.0550964187327824,2033,NA,NA
"2186",0.0801017164653528,0.19135410044501,0.0228862047043865,0.0254291163382072,0.0629370629370629,0.0146217418944692,0.00826446280991736,0.0228862047043865,0.0165289256198347,0.00635727908455181,0.00190718372536554,0.00635727908455181,0.00190718372536554,0,0,0,0.00635727908455181,0.00445009535918627,0,0,0.00190718372536554,0,0.00190718372536554,0.00190718372536554,0,0,0.0108073744437381,0.00190718372536554,0.00190718372536554,0,0.00190718372536554,0,0,0.00190718372536554,0,0,0.0292434837889383,0.0292434837889383,0,0,0,0,0,0,0.020979020979021,0.0565797838525111,0.0699300699300699,0.205340114431024,0.0356007628734901,0.00699300699300699,0,0.0495867768595041,2183.5,NA,NA
"2340",0.0580075662042875,0.173392181588903,0.0239596469104666,0.0100882723833544,0.032156368221942,0.0460277427490542,0.0239596469104666,0.0258511979823455,0.0378310214375788,0.00189155107187894,0.00189155107187894,0.00189155107187894,0,0,0,0,0.032156368221942,0.00378310214375788,0,0,0.00189155107187894,0.00189155107187894,0,0,0,0,0.00819672131147541,0.00189155107187894,0.0100882723833544,0,0,0,0,0.00189155107187894,0,0,0.0220680958385876,0.0277427490542245,0,0.00819672131147541,0,0,0,0,0.0201765447667087,0.05359394703657,0.0933165195460277,0.201134930643127,0.0252206809583859,0.00378310214375788,0,0.0460277427490542,2332,NA,NA
"2494",0.0726688102893891,0.178135048231511,0.0167202572347267,0.0102893890675241,0.0495176848874598,0.0514469453376206,0.0147909967845659,0.0147909967845659,0.0392282958199357,0.00192926045016077,0,0.0102893890675241,0,0,0.00192926045016077,0,0.0147909967845659,0.022508038585209,0.00192926045016077,0,0.00192926045016077,0.00836012861736334,0,0,0.00192926045016077,0,0.00192926045016077,0,0,0,0,0,0,0.00836012861736334,0,0,0.0122186495176849,0.0308681672025723,0,0.00192926045016077,0,0,0,0,0.00836012861736334,0.0662379421221865,0.0758842443729904,0.179421221864952,0.0398713826366559,0.0109324758842444,0,0.0508038585209003,2483,NA,NA
"2648",0.0858778625954199,0.174300254452926,0.0146310432569975,0.0101781170483461,0.0470737913486005,0.0451653944020356,0.0248091603053435,0.0120865139949109,0.061704834605598,0.00636132315521628,0,0.00636132315521628,0,0,0,0.00190839694656489,0.0101781170483461,0.00826972010178117,0,0,0,0.00381679389312977,0,0,0.00190839694656489,0,0.00381679389312977,0,0.00381679389312977,0.00636132315521628,0,0,0,0,0,0.00636132315521628,0.00636132315521628,0.0432569974554707,0.00190839694656489,0.00190839694656489,0,0,0,0,0.0101781170483461,0.0368956743002545,0.0756997455470738,0.171119592875318,0.0483460559796438,0.0108142493638677,0,0.0585241730279898,2636,NA,NA
"2841",0.0682510664229129,0.182205971968312,0.0402193784277879,0.0182815356489945,0.0560633759902498,0.0280316879951249,0.00426569165143205,0.00975015234613041,0.0298598415600244,0.00426569165143205,0.00182815356489945,0.0298598415600244,0,0,0.00182815356489945,0,0.0280316879951249,0.00975015234613041,0,0,0,0,0,0,0,0,0.00792199878123096,0,0,0,0,0,0,0,0,0,0,0.00182815356489945,0.00182815356489945,0.00182815356489945,0,0,0,0,0.012187690432663,0.0700792199878123,0.0712979890310786,0.182815356489945,0.0548446069469835,0.0103595368677636,0.000609384521633151,0.0719073735527118,2823.5,NA,NA
"2996",0.0738213399503722,0.0942928039702233,0.0719602977667494,0.0285359801488834,0.102357320099256,0.0043424317617866,0.0124069478908189,0.0124069478908189,0.0390818858560794,0,0,0.0161290322580645,0,0,0,0.00186104218362283,0.0142679900744417,0.0471464019851117,0,0,0,0.00186104218362283,0,0,0.0043424317617866,0,0.0161290322580645,0,0,0,0,0,0,0,0,0,0,0.0124069478908189,0.00186104218362283,0,0,0,0,0,0.0204714640198511,0.0452853598014888,0.0260545905707196,0.196029776674938,0.0905707196029777,0.00310173697270471,0,0.0632754342431762,2974,NA,NA
"3073",0.0560747663551402,0.0766355140186916,0.0542056074766355,0.0186915887850467,0.105919003115265,0.026791277258567,0.0249221183800623,0.00186915887850467,0.0355140186915888,0,0,0.00623052959501558,0,0,0,0,0.0311526479750779,0.043613707165109,0,0,0,0.00186915887850467,0,0,0.00186915887850467,0,0.0124610591900312,0,0,0,0,0,0.00186915887850467,0.00186915887850467,0,0,0,0.00186915887850467,0.00186915887850467,0.0043613707165109,0,0,0,0,0.0043613707165109,0.107788161993769,0.0548286604361371,0.19190031152648,0.0616822429906542,0.00560747663551402,0,0.0641744548286604,3049,NA,NA
"3265",0.0888625592417062,0.112559241706161,0.0793838862559242,0.0195497630331754,0.0716824644549763,0,0.00592417061611374,0,0.0308056872037915,0,0,0.0171800947867299,0,0,0,0,0.0308056872037915,0.0136255924170616,0,0,0,0.00414691943127962,0,0,0.00414691943127962,0,0.00177725118483412,0,0,0,0.00177725118483412,0,0.00177725118483412,0,0,0,0.00177725118483412,0.0171800947867299,0.00177725118483412,0.00177725118483412,0,0,0.0154028436018957,0,0.00947867298578199,0.0598341232227488,0.023696682464455,0.232227488151659,0.0930094786729858,0.000592417061611374,0.000592417061611374,0.0586492890995261,3236,NA,NA
"3423",0.0680824484697064,0.0580886945658963,0.0880699562773267,0.0181136789506558,0.106183635227983,0,0,0.0018738288569644,0.0299812617114304,0,0.0018738288569644,0.0880699562773267,0,0,0.0018738288569644,0,0.0318550905683948,0.0499687695190506,0,0,0,0.0018738288569644,0,0,0.0018738288569644,0,0,0,0,0,0,0.0018738288569644,0,0,0,0,0,0.0118675827607745,0,0,0,0.0018738288569644,0.0018738288569644,0,0.00811992504684572,0.0499687695190506,0.0299812617114304,0.183010618363523,0.10368519675203,0,0,0.0599625234228607,3415,NA,NA
"3582",0.0174383644016837,0.127480457005412,0.0745640408899579,0.015634395670475,0.084786530366807,0.00180396873120866,0.0174383644016837,0.0198436560432953,0.00781719783523752,0,0,0.0276608538785328,0,0,0,0,0.0980156343956705,0.0198436560432953,0,0,0,0.0042092603728202,0,0,0.0042092603728202,0,0.00180396873120866,0,0,0,0,0,0,0,0,0,0,0.015634395670475,0.0042092603728202,0,0.00180396873120866,0.0042092603728202,0,0,0.0138304269392664,0.0390859891761876,0.0408899579073963,0.150932050511124,0.120264582080577,0.00360793746241732,0,0.0829825616355983,3575,NA,NA
"3741",0.0280373831775701,0.128971962616822,0.0785046728971963,0.0180685358255452,0.133333333333333,0.00373831775700935,0.00809968847352025,0.00996884735202492,0.0199376947040498,0.00373831775700935,0.00373831775700935,0.0280373831775701,0.00186915887850467,0,0,0,0.0361370716510903,0.0199376947040498,0,0,0.00186915887850467,0.00186915887850467,0,0,0,0,0.0143302180685358,0,0,0,0,0,0,0,0,0,0,0.00623052959501558,0.00186915887850467,0.00186915887850467,0.00186915887850467,0.00186915887850467,0.00186915887850467,0.00186915887850467,0.0161993769470405,0.0461059190031153,0.0336448598130841,0.173831775700935,0.0909657320872274,0.00124610591900312,0,0.0803738317757009,3737,NA,NA
"3900",0.0325352977286679,0.183548189073051,0.0969920196439533,0.0122774708410068,0.0785758133824432,0,0.00613873542050338,0.00613873542050338,0.0362185389809699,0,0,0.0386740331491713,0,0,0,0.00184162062615101,0.0141190914671578,0.0263965623081645,0,0,0,0,0,0,0.00184162062615101,0,0.00429711479435236,0.00184162062615101,0,0,0,0,0,0.00429711479435236,0,0,0,0.0122774708410068,0,0,0,0,0,0,0.0159607120933088,0.0405156537753223,0.0773480662983425,0.143032535297729,0.0675260896255371,0.00122774708410068,0,0.096378146101903,3896,NA,NA
"4059",0.0466543891958257,0.131982811540823,0.0853284223449969,0.0153468385512584,0.0638428483732351,0,0.00552486187845304,0.0116635972989564,0.0331491712707182,0,0,0.0313075506445672,0,0,0,0,0.0583179864947821,0.0270104358502149,0,0,0,0.00368324125230203,0,0,0,0,0.00552486187845304,0,0,0,0.00184162062615101,0,0,0.00184162062615101,0,0,0,0.00798035604665439,0,0.00368324125230203,0,0.00184162062615101,0,0,0.0270104358502149,0.0484960098219767,0.0865561694290976,0.147943523634131,0.0632289748311848,0.00368324125230203,0,0.0865561694290976,4054,NA,NA
"4218",0.0204081632653061,0.174744897959184,0.146683673469388,0.0159438775510204,0.0644132653061224,0,0.00191326530612245,0.0038265306122449,0.00829081632653061,0,0.00191326530612245,0.0159438775510204,0,0,0,0.0038265306122449,0.048469387755102,0.0223214285714286,0,0.00573979591836735,0,0,0,0.00191326530612245,0.00573979591836735,0,0.00191326530612245,0.00191326530612245,0,0,0,0.00191326530612245,0,0,0,0,0,0.00829081632653061,0,0.00191326530612245,0,0.0121173469387755,0.00573979591836735,0,0.0223214285714286,0.038265306122449,0.0714285714285714,0.0931122448979592,0.0752551020408163,0.000637755102040816,0,0.123086734693878,4204,NA,NA
"4377",0.0479409956976029,0.164720344191764,0.0460971112476951,0.0098340503995083,0.066379840196681,0,0.00430239704978488,0.00430239704978488,0.0258143822987093,0,0,0.0301167793484942,0,0,0,0,0.0522433927473878,0.0460971112476951,0,0.00430239704978488,0,0.00430239704978488,0,0.00184388444990781,0.00184388444990781,0,0.0282728948985864,0,0,0,0,0,0,0,0,0,0.00430239704978488,0.00799016594960049,0,0.00184388444990781,0,0.00184388444990781,0,0,0.00799016594960049,0.0522433927473878,0.0805162876459742,0.107559926244622,0.0866625691456669,0.0129071911493546,0,0.0977258758451137,4305.5,NA,NA
"4536",0.0568690095846645,0.119488817891374,0.0766773162939297,0.0121405750798722,0.0830670926517572,0.00830670926517572,0.0121405750798722,0.00191693290734824,0.0466453674121406,0,0,0.0261980830670927,0,0,0,0,0.0421725239616613,0.0402555910543131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00191693290734824,0,0.00383386581469649,0.0140575079872204,0,0.00191693290734824,0,0,0.00191693290734824,0,0.0281150159744409,0.060702875399361,0.0824281150159744,0.0958466453674121,0.0773162939297125,0.0140575079872204,0,0.0920127795527157,4417,NA,NA
"4695",0.066793893129771,0.148218829516539,0.0814249363867684,0.0286259541984733,0.0591603053435114,0.00190839694656489,0.00381679389312977,0,0.0267175572519084,0.00190839694656489,0.00381679389312977,0.0101781170483461,0,0,0,0,0.022264631043257,0.0241730279898219,0,0,0,0,0,0,0,0,0.0101781170483461,0,0,0,0,0,0,0,0,0,0,0.0139949109414758,0,0.00190839694656489,0,0.00190839694656489,0,0,0.0286259541984733,0.0998727735368957,0.0998727735368957,0.102417302798982,0.0846055979643766,0.00318066157760814,0,0.0744274809160305,4526.5,NA,NA
