"","Asteroideae","Casuarina","cf..Calystegia","Cocos","Commelina","Cyperaceae","Dicranopteris","Hypolepis","Microsorum","Pandanus","Persicaria","Pinus","Poaceae..smaller.50.","Poaceae..larger.50.","Sigesbeckia","Spermatophyta.undiff.","Thelypteridaceae","Acalypha","Angiopteris","Fabaceae","Ficus","Hibiscus","Ipomoea","Lycopodiella.cernua","Psidium","Pteris","Solanaceae","Cichorioideae","Colocasia","Lamiaceae","Myrtaceae","Psilotum","Sonchus","Glochidion","Polypodiaceae","Urticaceae.Moraceae","cf..Achyranthes","Hibiscus.cf..H..australensis","Pritchardia","Aleurites","Bidens","Cyathea","Myrsine","Rhus","Cyclophyllum","Euphorbiaceae","Homalanthus","Timonius","Trema","Vigna","Acrostichum","Asplenium","Allophylus","Arecaceae.incertae.sedis","Barringtonia","Celtis","cf..Psydrax","Lycopodium.sp.","Phyllanthus","cf..Psychotria","Dodonaea","Elaeocarpus","Macaranga","Charpentiera","Triumfetta","Lygodium","Pouteria","Coprosma","Claoxylon","Jasminum","Plumbago","Guettarda","Homalium","Melicope","Meryta","Terminalia","Cal_yrs_BP","min","max"
"343706",0,0.0124069478908189,0,0.0124069478908189,0.00992555831265509,0.11166253101737,0.166253101736973,0.0893300248138958,0.0148883374689826,0.0347394540942928,0.0173697270471464,0,0.126550868486352,0.0645161290322581,0,0.0124069478908189,0.0496277915632754,0,0.00744416873449132,0.00744416873449132,0.0173697270471464,0.00248138957816377,0,0.0397022332506203,0,0.00744416873449132,0.00744416873449132,0,0.00496277915632754,0,0,0.032258064516129,0.00248138957816377,0,0,0.0347394540942928,0,0.00248138957816377,0.0148883374689826,0.00248138957816377,0,0.0272952853598015,0,0,0,0.00496277915632754,0,0,0.00248138957816377,0.00744416873449132,0.0397022332506203,0,0,0.00248138957816377,0.00496277915632754,0,0,0,0.00248138957816377,0.00248138957816377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476,NA,NA
"343707",0,0.0127118644067797,0,0.00423728813559322,0,0.161016949152542,0.127118644067797,0.038135593220339,0.0296610169491525,0.0254237288135593,0.00847457627118644,0,0.114406779661017,0.0889830508474576,0.00847457627118644,0.0211864406779661,0.0550847457627119,0,0.0169491525423729,0.0169491525423729,0.00847457627118644,0.00423728813559322,0,0.0254237288135593,0,0.00423728813559322,0,0,0.0127118644067797,0,0,0.0423728813559322,0,0,0,0.0932203389830508,0,0.00423728813559322,0.00847457627118644,0,0,0.0169491525423729,0,0,0.00423728813559322,0,0.00423728813559322,0,0,0,0.0127118644067797,0.00423728813559322,0,0,0.00423728813559322,0.0127118644067797,0,0.00423728813559322,0,0.00423728813559322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,515.5,NA,NA
"343708",0,0.0144927536231884,0,0.00869565217391304,0,0.153623188405797,0.107246376811594,0.168115942028985,0.0376811594202899,0.0347826086956522,0.0144927536231884,0.00289855072463768,0.127536231884058,0.0144927536231884,0,0.00579710144927536,0.0608695652173913,0,0.00869565217391304,0.00289855072463768,0.00289855072463768,0,0,0.00289855072463768,0,0.0289855072463768,0.00869565217391304,0,0.00869565217391304,0,0.00289855072463768,0.0289855072463768,0.00289855072463768,0,0,0.0376811594202899,0.00289855072463768,0,0.0144927536231884,0,0,0.00289855072463768,0,0,0,0,0,0.00289855072463768,0,0,0.0695652173913043,0.00289855072463768,0,0,0.00869565217391304,0,0,0,0,0,0.00289855072463768,0.00289855072463768,0.00289855072463768,0,0,0,0,0,0,0,0,0,0,0,0,0,560,NA,NA
"343709",0,0.00371747211895911,0,0.0111524163568773,0.00371747211895911,0.141263940520446,0.0966542750929368,0.0669144981412639,0.0223048327137546,0.0892193308550186,0.00371747211895911,0.00371747211895911,0.0855018587360595,0.0631970260223048,0.00371747211895911,0.00371747211895911,0.033457249070632,0.00371747211895911,0,0.00371747211895911,0.0371747211895911,0,0,0.0371747211895911,0,0.0260223048327138,0.00371747211895911,0,0.00371747211895911,0,0,0.0446096654275093,0,0,0,0.0557620817843866,0.00371747211895911,0,0.0111524163568773,0,0,0.0185873605947955,0.00371747211895911,0,0,0,0,0,0,0,0.100371747211896,0,0,0,0,0,0,0,0,0,0,0.00371747211895911,0.00371747211895911,0.00371747211895911,0.00371747211895911,0,0,0,0,0,0,0,0,0,0,0,620,NA,NA
"343710",0,0.0204778156996587,0,0.0136518771331058,0.00341296928327645,0.102389078498294,0.0819112627986348,0.0887372013651877,0.0204778156996587,0.10580204778157,0.00341296928327645,0.00341296928327645,0.0546075085324232,0.0511945392491468,0,0.0102389078498294,0.0409556313993174,0.0102389078498294,0.00341296928327645,0,0,0,0,0.0443686006825939,0,0.0238907849829352,0.0102389078498294,0,0,0,0.00341296928327645,0.0204778156996587,0,0,0,0.0409556313993174,0,0,0.0170648464163823,0.00341296928327645,0,0,0,0,0,0.00341296928327645,0,0,0,0,0.180887372013652,0.00341296928327645,0.00341296928327645,0,0.0068259385665529,0,0,0.00341296928327645,0.00341296928327645,0,0,0,0.0068259385665529,0.00341296928327645,0,0.00341296928327645,0.00341296928327645,0,0,0,0,0,0,0,0,0,657,NA,NA
"343711",0,0.00423728813559322,0,0.00423728813559322,0.00423728813559322,0.122881355932203,0.0550847457627119,0.0254237288135593,0.00847457627118644,0.0974576271186441,0.0254237288135593,0,0.0805084745762712,0.0211864406779661,0,0.0338983050847458,0.0338983050847458,0.00847457627118644,0.00423728813559322,0,0.00423728813559322,0.00423728813559322,0.00423728813559322,0.0593220338983051,0,0.0423728813559322,0.00423728813559322,0,0,0,0,0.0169491525423729,0,0,0,0.0805084745762712,0,0,0.0338983050847458,0,0,0.0550847457627119,0,0.00423728813559322,0.00423728813559322,0.0127118644067797,0,0.00423728813559322,0.0127118644067797,0,0.0338983050847458,0.00847457627118644,0,0.0169491525423729,0.0254237288135593,0.00847457627118644,0,0.00847457627118644,0,0,0.00423728813559322,0,0.0127118644067797,0.00423728813559322,0.00423728813559322,0,0,0,0,0,0,0,0,0,0,0,706,NA,NA
"343712",0,0,0,0.0210084033613445,0,0.0336134453781513,0.00420168067226891,0.0840336134453782,0,0.138655462184874,0,0,0.0210084033613445,0.00420168067226891,0,0.0210084033613445,0.0126050420168067,0.0588235294117647,0,0,0,0,0,0.159663865546218,0,0.0294117647058824,0,0,0,0,0,0,0,0,0,0.0756302521008403,0,0,0.0672268907563025,0,0,0.0672268907563025,0.00840336134453781,0.0210084033613445,0.00420168067226891,0.00840336134453781,0,0,0.046218487394958,0,0.046218487394958,0.00840336134453781,0,0.0126050420168067,0.0168067226890756,0.0168067226890756,0,0,0.00420168067226891,0,0,0,0,0,0.00420168067226891,0,0,0.00420168067226891,0,0,0,0,0,0,0,0,768,NA,NA
"343713",0,0.00896860986547085,0,0.0269058295964126,0,0.00896860986547085,0.00896860986547085,0.0717488789237668,0.00448430493273543,0.0807174887892377,0,0,0.00896860986547085,0,0,0.00896860986547085,0.00896860986547085,0.031390134529148,0,0,0.0179372197309417,0,0,0.251121076233184,0,0.0582959641255605,0,0,0,0,0.00448430493273543,0,0,0.00448430493273543,0,0.00896860986547085,0,0,0.0672645739910314,0,0,0.103139013452915,0,0.0448430493273543,0,0,0,0,0.0582959641255605,0,0.0134529147982063,0.00448430493273543,0,0.00448430493273543,0.0224215246636771,0.00448430493273543,0,0,0,0,0,0,0.031390134529148,0.0134529147982063,0,0,0,0,0.00448430493273543,0.00896860986547085,0.00448430493273543,0,0,0,0,0,884,NA,NA
"343714",0,0,0,0.0355871886120996,0,0.00711743772241993,0,0.0640569395017794,0.00711743772241993,0.0854092526690391,0,0,0.00355871886120996,0,0,0.0177935943060498,0,0.0177935943060498,0,0.00355871886120996,0.0142348754448399,0,0.00355871886120996,0.124555160142349,0,0.0889679715302491,0.00355871886120996,0,0,0,0,0.00355871886120996,0,0.00355871886120996,0,0.0106761565836299,0,0.00355871886120996,0.209964412811388,0,0,0.0782918149466192,0.00355871886120996,0.0320284697508897,0,0.0106761565836299,0,0,0.0782918149466192,0,0.00711743772241993,0.00355871886120996,0,0,0.0177935943060498,0.00711743772241993,0,0,0,0,0,0,0.0427046263345196,0,0,0,0,0,0,0.00355871886120996,0.00355871886120996,0.00355871886120996,0,0,0,0,970,NA,NA
"343715",0,0,0,0.0538116591928251,0,0.0134529147982063,0,0.0493273542600897,0.00448430493273543,0.0582959641255605,0,0,0.00448430493273543,0,0,0.00896860986547085,0,0.0269058295964126,0,0,0.00448430493273543,0,0,0.188340807174888,0,0.121076233183857,0.00448430493273543,0,0,0,0,0,0,0.00448430493273543,0,0.0493273542600897,0,0,0.130044843049327,0,0,0.103139013452915,0,0.0269058295964126,0.00448430493273543,0.00896860986547085,0.00448430493273543,0,0.0448430493273543,0,0,0.00896860986547085,0.00448430493273543,0,0.00448430493273543,0.00448430493273543,0,0,0,0,0,0,0.0493273542600897,0.00896860986547085,0,0,0,0,0.00448430493273543,0,0,0,0,0,0,0,1014,NA,NA
