 ,max,Cal_yrs_BP,min,Abies,Alnus,Amaranthaceae,Apiaceae,Artemisia,Asteroideae,Betula,Brassicaceae,Buxus,Cannabaceae,Carpinus,Caryophyllaceae,Centaurea-type,Cichorioideae,Cistus,Convolvulus,Coriaria myrtifolia,Corylus,Cyperaceae,Dinoflagellata,Ephedra,Ericaceae,Euphorbia,Fabaceae,Geraniaceae,Hedera,Helianthemum,Juglans,Juniperus,Lamiaceae,Ligustrum,Lygeum-type,Lythrum,Malvaceae,Myriophyllum,Nuphar,Olea,Phillyrea,Pinus,Pistacia,Plantago,Poaceae,Poaceae (Cerealia-type),Polygonum,Populus,Potamogeton,Pseudoschizaea,Quercus ilex-type,Quercus robur-type,Ranunculaceae,Rhamnus,Rosaceae,Rubiaceae,Rumex,Sparganium-type,Tamarix,Thymelaea,Tilia,Typha latifolia-type,Ulmus,Unknown (monolete),Unknown (trilete),Urticaceae,Vitis
,5317,4793,4251,,9,9,15,3,19,,,138,,,,1,,,1,1,3,,,9,2,,,,,,,65,1,,,,,,,7,,26,,11,22,,,,,,12,2,,,,,,24,,,,,,3,8,,
,5460,4979,4489,,,,12,3,65,,2,9,,,,,3,,,,4,,,3,1,,58,,,,,12,,,,,,,,54,2,10,,176,26,10,,,,,3,,,,1,1,,3,15,,,,,4,27,,
,5620,5166,4689,,14,,8,9,20,2,,227,,,,,,,,1,10,4,,4,3,,1,,,,,93,2,,,,,1,,3,,36,,7,33,,,,,,19,21,,,,,,17,,,,3,,1,5,,
,5833,5353,4869,,,1,7,2,56,,6,1,,,2,,2,,,,2,1,,,6,,18,4,,,,2,,,1,,,,,17,2,16,,109,33,6,3,,,,6,,,,,,,2,5,2,,,1,6,40,,
,6073,5540,5014,,5,3,23,4,15,,,219,4,,,,,,,1,6,,,1,3,1,1,,,,,31,6,,,,,,,3,,16,1,6,13,1,,,,,14,9,1,,,,,85,1,1,1,9,1,1,8,,
,6326,5727,5103,,5,2,18,1,23,,,201,1,1,,,,,,,19,3,,1,,,,,,,,76,2,,,,,,,7,,14,,15,33,1,,,,,19,15,1,,,,,18,,1,,5,1,2,5,,
,6399,5814,5208,,6,3,23,3,51,,,222,3,,,,,,,1,10,2,,8,3,,,3,,,,77,10,,,,,,,,,9,1,12,9,1,,,,,9,10,,,,,,36,1,1,1,2,,1,8,,
,6472,5901,5312,,7,15,17,4,45,1,,1,,,,,8,,,,5,81,,2,,,10,,,,,,,,,,,,,81,3,6,,25,63,3,1,,3,3,17,,,,1,,,17,5,,,,,7,9,1,
,6531,5970,5396,,,47,18,8,12,,1,,,,,,56,,,1,2,36,,,9,,7,1,,,,3,2,,,,,,,33,2,11,,50,29,7,,,,4,6,5,,,,1,,2,,1,,,,3,2,,
,6589,6040,5478,,9,4,11,1,34,1,,164,,,,,,,,,8,4,,,,,1,,,,,97,3,,,,,1,,2,,11,3,1,45,2,,,,,8,12,1,,1,2,,18,,,,,,4,6,,
