"","Abies","Acer","Alnus","Amaranthaceae","Apiaceae","Artemisia","Asphodelus","Asteroideae","Betula","Brassicaceae","Buxus","Cannabaceae","Carpinus","Caryophyllaceae","Cichorioideae","Cistus","Convolvulus","Corylus","Cyperaceae","Ephedra","Epilobium","Ericaceae","Euphorbia","Fabaceae","Fagus","Fraxinus","Geraniaceae","Hedera","Helianthemum","Juglans","Juniperus","Lamiaceae","Ligustrum","Lygeum-type","Malva","Monocotyledoneae","Myriophyllum","Nymphaea","Olea","Persicaria amphibia","Phillyrea","Pinus","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Polygonum","Poterium sanguisorba","Quercus ilex-type","Quercus robur-type","Ranunculaceae","Rhamnus","Rosaceae","Rubiaceae","Rumex","Salix","Scabiosa","Sparganium-type","Thalictrum","Thymelaea","Tilia","Typha latifolia-type","Ulmus","Vitis","Cal_yrs_BP","min","max"
"S411998","1","","1","1","8","2","","12","1","","99","","","1","2","","","19","","4","","2","","","","","","","","","25","","","","","","6","","","","1","48","","6","3","","","","9","9","","","","","2","","","17","","","1","","2","","8671","8808","8544"
"S411999","","","","3","18","4","","46","1","","147","","","1","2","","","45","1","10","","6","","1","","","","","","","35","2","","","","","1","","1","","","52","","8","1","","","","11","15","","","","","1","","","26","","","2","","2","","8689","8836","8554"
"S412000","","","1","2","12","2","","29","1","","130","","","","","","","25","","12","","7","","","","","","","","","38","","","","","","","","","","","25","","2","5","","","","12","6","","","","","","","","17","","1","2","","","","8698","8851","8559"
"S412001","","","2","3","11","10","","35","2","","103","","","1","","","","39","1","12","","4","","","","1","","1","","","23","1","","","","","","","1","","1","24","1","7","3","","","","11","8","","","","","","","","6","","1","4","","","1","8707","8865","8563"
"S412002","","","1","4","20","4","","41","2","","108","","","","","","","50","2","8","","2","","","","","","","","","28","1","","","","","","","1","","","21","","1","5","","","","12","5","","","","","","","","8","","","2","","2","","8716","8879","8567"
"S412003","","","1","6","13","2","","35","","","141","","","1","1","","","40","1","15","","1","1","","","","","","","","22","","","","","","","","3","","","27","","5","6","","","","3","6","","","","","1","","","8","","2","1","","2","","8725","8894","8571"
"S412004","","","2","2","15","1","","37","1","","88","","","","","","","27","1","3","","","","","","","","","","","28","","","","","","","","1","","","25","3","1","10","","","","9","4","","","","","","","1","15","","","2","","","","8734","8908","8575"
"S412005","","","2","2","17","3","","33","2","","194","","","","1","","","33","2","13","","2","","1","1","","","","","","30","","","","","","1","","1","","","42","","7","10","","","1","5","9","","","","","","","","8","","1","3","","1","","8743","8923","8578"
"S412006","","","","3","16","1","","37","2","","200","","","","","","","38","1","16","","1","","","","","","","","","23","2","","","","","1","","","","","33","","4","4","","","","8","6","","","","1","","","","7","","","2","","2","","8752","8938","8582"
"S412007","","","","2","9","2","","20","1","","159","","","1","1","","","45","2","13","","2","","","","","","","","","21","2","","","","","2","","2","","","28","","3","4","","","","4","4","","","","","","","","9","","","2","","1","","8761","8953","8585"
"S412008","","","","1","16","1","","22","","","120","","","1","1","","","25","","4","","","2","1","","","","","","","22","1","","","","","2","","2","","","10","","3","2","","","","9","4","","","","","","","","2","","","","","2","","8770","8968","8589"
"S412009","","","","6","5","2","","16","1","","107","","","","","","","27","","7","","","","","","","","","","","20","1","","","","","2","","","","1","24","","4","3","","","","3","2","","","","","","","","9","","","1","","1","","8788","8998","8594"
