,Cal_yrs_BP,max,min,Achillea,Alnus glutinosa-type,Amaranthaceae,Ammi-type,Anagallis,Angelica lignescens,Anthoceros laevis,Anthoceros punctatus,Apiaceae,Apium,Arceuthobium azoricum,Artemisia,Asteroideae,Bellis-type,Botrychium lunaria,Brassicaceae,Calluna vulgaris,Campanulaceae,Castanea sativa,Centaurium,Cercophora-type,Chaerophyllum azoricum,Charcoal,Cheilanthes-type,Chrysanthemum-type,Cryptomeria japonica,Culcita macrocarpa,Cyperaceae,Daphne laureola,Daucus carota subsp. azoricus,Desmidiales,Diphasiastrum madeirense,Dryopteris dilatata-type,Dryopteris filix-mas-type,Ericaceae,Euphorbia,Euphrasia,Frangula azorica,Galium-type,Gnaphalium-type,Hedera azorica,Huperzia dentata,Huperzia suberecta,Hydrangea macrophylla,Hydrocotyle vulgaris,Hymenophyllum tunbrigense-type,Hypericum foliosum-type,Ilex perado ssp. azorica,Illecebrum verticillatum,Indeterminable,Indeterminable (unknown),Isoëtes azorica,Juniperus,Juniperus brevifolia,Lactuca-type,Ligustrum,Lycopodiella inundata,Lycopodium spike,Lycopodium tablets,Lycopodium tablets,Lysimachia azorica,Lythrum portula,Mentha-type,Morella faya,Myrsine africana,Ophioglossum azoricum,Ophioglossum lusitanicum,Osmunda regalis,Pediastrum,Pericallis-type,Persicaria,Picconia azorica,Pinus subg. Pinus,Plantago coronopus,Plantago major,Plantago uniflora,Poaceae,Podospora-type,Polypodiales (monolete),Polypodiales (trilete),Polypodium azoricum,Potamogeton-type,Potentilla-type,Prunus lusitanica subsp. azorica,Pteridium aquilinum,Pteris incompleta,Ranunculus cortusifolius-type,Rumex acetosella-type,Rumex obtusifolius-type,Sagina,Sample quantity,Scabiosa,Selaginella kraussiana,Silene-type,Spergula-type,Sphagnum,Sporormiella,Tolpis-type,Trichomanes speciosum,Urtica,Ustulina deusta,Vaccinium cylindraceum,Veronica,Vitis,Xanthium
27,523.2,,,,,,,1,50,,,3,,3,,,4,,,6,,,,,,0,,,,130,23,1,1,2,,,4,10,16,,,,,,,,,,,2,62,,6,,,27,220,3,,,607,10679,8,,4,,12,40,,,1,,1,,3,,,,,12,,1425,,,42,3,,,,72,,,,1,,28,,,,,61,7,,1,,1,,
28,543.4,,,,,,,,20,,,,2,,,,1,,,1,,,,,,0,,,,96,41,,,2,1,,20,10,12,,,,,4,,4,,,,2,28,,4,,,33,343,6,,,711,10679,8,,1,,8,26,,,7,,,,1,,,,,9,,647,,1,146,1,,1,,36,,,,1,1,13,,,,,30,11,,,3,,,
29,563.6,,,,,3,,4,23,,,3,,5,,,10,2,6,1,,,1,2,,0,1,,,97,50,,,5,1,,1,10,5,1,,,,10,,3,,,,4,34,,1,2,,21,314,15,,,1037,10679,8,3,,,7,20,,,5,1,,,3,,,,1,9,,803,,,231,2,,2,,37,,,,1,6,5,,,,,4,18,,1,3,5,,
30,583.8,,,,1,1,,1,55,,,,,11,,,3,,,1,,,,,,0,,,,147,44,,,7,1,,17,16,20,,,2,,7,,6,,,,1,37,,4,,,39,275,11,,,1005,10679,8,,5,,10,34,,,3,,,,10,,,,,11,,996,,1,74,3,,,,69,,,,1,3,23,,,,,53,9,,,4,,,
31,609.755,,,,,,,1,56,,,,2,4,,,1,,,1,,,,,,0,,,,50,10,1,,3,,,2,4,18,,,,,3,1,3,,,,2,37,1,7,,,15,136,10,,,792,10679,8,,3,,9,15,,1,1,,,,6,,,,,6,,791,,,138,2,,,,150,,,,1,1,15,,,,,68,8,1,2,1,,,
32,657.37,,,,,,,1,74,,,2,1,1,,,4,1,,1,,,,,,0,,,,37,4,,,2,,,,15,17,,1,,,,,2,,,,2,37,,3,,,,46,18,,,623,10679,8,,1,,10,8,,,2,,,,1,,,,,10,,1120,,,7,1,,,3,243,,,,1,,44,,,,,140,2,,,1,,,
33,714.508,,,,,,,1,95,,,2,,1,,,3,,,,,,,,,0,,,,53,6,,,,,,1,12,22,,,,,,,2,,,,,32,,,,,4,23,10,,,734,10679,8,1,,,24,8,,,2,,,,,,,,,32,,1033,,1,1,6,,,,313,,,,1,5,47,,,,,113,,,1,1,1,,
34,752.6,,,,,,,1,33,,,5,,6,,1,11,,,3,,,,,,0,,,,57,23,,,,,1,3,12,5,,,,,10,,5,,,,2,47,,4,,,35,303,4,,,913,10679,8,3,2,,9,22,,,2,,,,2,,,,,6,,853,,2,134,3,,4,1,43,,1,,1,2,9,,,,,34,5,1,4,,2,,
35,800.215,,,,,,,2,25,,,,,7,,,2,,,,,,,,,0,,,,104,36,,,1,3,,14,7,15,,,,,14,,4,,,,,25,1,3,,,25,275,9,,,805,10679,8,,2,1,10,56,,,4,,,,9,,,,,3,,974,,,101,4,,1,1,54,,,,1,1,23,,,,,52,9,,2,6,,,
36,847.83,,,,,,,4,42,,,,,1,,,8,,,9,,,,,,0,,,,88,18,,,4,,,1,11,9,,2,,,4,,4,,,,1,44,,6,,,22,301,1,,,639,10679,8,,,,8,37,,,2,,,,5,,,,,4,,1059,,,104,1,,,,41,,,,1,,9,,,,,37,5,,1,,,,
37,895.445,,,,,,,2,93,,,1,,3,,,15,,,,,,,,,3,,,,184,5,,,,2,,1,18,38,,,,,,2,11,,,,2,100,,20,,,2,57,6,,,887,10679,8,2,3,,16,20,,8,9,,1,,5,,,,,7,,1553,,,,,,,,69,,,,1,1,82,,,,,86,14,,9,,1,,
38,943.06,,,,,,,3,79,,,3,,2,,,13,,,,,,,,,0,,,,157,7,,,,1,,3,15,39,,,,,1,2,7,,,,6,88,,7,,,,54,15,,,738,10679,8,1,1,,14,17,,7,10,,4,,1,,,,,4,,1244,,,,1,,,,55,,,,1,,77,,,,,84,13,,5,,1,,
39,1009.721,,,,,,,5,24,,,2,,9,,,2,,,1,,,1,,1,0,,,,115,37,,,1,,,18,11,10,,,,,4,1,1,,,,1,61,,5,,,46,269,5,,,427,10679,8,,1,,8,48,,,3,,,,9,,,,,8,,741,,,57,1,,,,30,,,,1,1,9,,,,,36,9,,4,7,1,,
40,1038.29,,,,,,,7,26,,,2,1,7,,,4,,,1,,,,,1,0,,,,81,11,,,1,,,6,18,8,,,,,3,,1,,,,3,51,,4,3,,26,284,2,,,621,10679,8,,,,5,31,,3,2,,2,,7,,,,3,7,,808,,,60,1,,,1,31,,,,1,,10,,,,,35,16,,1,4,,,
41,1085.905,,,,1,,,2,28,,,1,,10,,,1,,,1,,,,,,0,,,,104,25,,,2,1,,8,12,10,,,1,,6,,2,,,,,45,,7,,,34,371,2,,,524,10679,8,,,,11,35,,,5,,1,,6,,,,,6,,739,,,114,1,,,,36,1,,,1,1,8,,,,,24,11,,4,2,,,
42,1133.52,,,,,,,,33,,,,,5,,,4,,,3,,,,,,0,,,,96,9,,,5,,,1,11,9,,,,1,4,,6,,,1,2,45,1,7,,,28,243,7,,,768,10679,8,,1,,9,55,1,,1,,1,,2,,,,,11,,826,,,52,2,,,1,34,,,,1,,11,,,,,34,4,,,3,,,
43,1181.135,,,,,,,3,34,,1,,,12,,,8,,,2,,,,,,0,,,,107,23,,,1,,,7,11,10,,,,,6,,4,,,3,1,32,,4,1,,44,274,10,,,573,10679,8,,,,11,48,,,2,,1,,4,,,,,13,,782,,,48,,,,,44,,,,1,1,26,,,,,29,12,,4,2,1,,
44,1228.75,,,,,,,3,34,,,1,1,12,,,4,,1,1,,,,,1,0,1,,,81,4,,,,,,5,9,10,,,,,6,,3,,,,1,67,,2,5,,30,348,3,,,524,10679,8,1,2,,5,45,,,2,,,,5,,,,1,2,,906,,1,19,1,,,1,25,,,,1,,8,,,,,20,7,,,,,,
45,1276.365,,,,,,,,38,,,,,6,,,1,,,1,,,,,,0,,,,97,8,,,,,,9,14,14,,1,,,2,2,7,,,1,3,48,,7,3,,36,274,11,,,417,10679,8,1,3,,7,31,2,,2,,,,6,,,,,4,,717,,,13,2,,,1,46,,,,1,1,19,,,,,36,12,,1,1,,,
46,1323.98,,,,,,,2,30,,,,,9,,,1,,,4,,,,,,0,,,,61,9,,,3,,,,6,8,,,,,2,,1,,,,1,46,,3,,,30,324,3,,1,465,10679,8,,,,9,41,,,3,,,,7,,,,,4,,661,,,24,3,,,,17,,1,,1,,10,,,,,29,3,,1,,2,,
47,1371.595,,,,,,,5,49,,,1,,8,,,1,,1,3,,,,,,0,,,,100,30,,,4,,,,13,15,,,,,7,1,3,,,,2,33,7,2,,,19,248,5,,1,733,10679,8,,,,35,44,,,5,,,,10,,,,2,14,,954,,,64,3,,1,,38,,,,1,1,16,,,,,29,17,,2,5,5,,
48,1407.08,,,,,,,3,110,,,,4,,,,9,,,2,,,,1,,0,,,,72,1,,,,,,1,4,23,,,,,,,1,,,,5,43,,4,,,5,62,17,,1,516,10679,8,,,,21,4,,,,,,,4,,,,,15,1,1822,,,5,1,,,,165,,,,1,,38,,,,,154,3,,,,1,,
49,1425.15,,,,,,,3,121,,,1,1,3,,,7,,,3,,,,,,0,,,,84,1,,,,,,,12,25,,,,,1,,7,,,,6,36,1,1,,,6,55,17,,,549,10679,8,1,,,11,7,,,,,1,,5,,,,,12,,1858,,1,3,,,,2,174,,,,1,,30,,,,,140,8,,,,,,
50,1443.22,,,,,,,3,107,,,39,,2,,,8,,,1,,,,,1,4,8,,,88,9,,,,,,3,9,22,,,,,1,,4,,,,1,57,,3,1,,7,78,7,,,503,10679,8,,,,12,7,,,4,,,,,,,,,18,,2248,,,4,1,,1,2,151,,,,1,,33,,,,,146,9,,1,,,,
51,1461.29,,,,,,,1,134,,,6,,1,,,8,,,4,,,,,,1,,,,101,7,1,2,,,,,15,32,,,,,2,,4,,,,4,50,,4,,,6,89,23,,,567,10679,8,,1,,19,4,1,,3,,,,2,,,,,13,,2529,,1,3,,1,,4,196,,,,1,,44,,,,,145,3,,6,,,,
52,1479.36,,,,,,,2,114,,,4,8,,,,10,,,2,,,,,,0,,,,86,1,,,,,,1,7,20,,,,,,,2,,,,2,45,,3,,,7,75,13,,1,395,10679,8,,1,,12,7,,1,1,,1,,5,,,,,19,,1909,,1,5,1,,,,192,,,,1,,34,,,,,132,4,,1,1,,,
53,1497.43,,,,,,,2,137,,,1,1,,,,10,,,5,,,,,,0,,,,61,4,,1,1,2,,1,7,24,,,,,5,,3,,,,10,43,,4,3,,4,69,26,,,479,10679,8,,,,13,4,,,4,,1,,6,,,,,24,,1953,,1,,1,,,1,162,,1,,1,,45,,,,,109,3,,2,3,1,,
54,1515.5,,,,,,,3,94,,,,,1,,,5,,,3,,,,,,0,1,,,66,4,,,,,,16,10,30,,,,,2,1,6,,,,1,49,,5,,,,54,10,,,357,13500,3,,,,14,8,,,1,,,,5,,,,,15,,2109,,,1,2,,,1,123,,,,1,,23,,,,,104,2,,,1,,,
55,1533.57,,,,,,,2,118,,,,,1,,,1,,1,3,,,,,1,0,,,,81,3,,1,,,,1,6,23,,,,,3,1,7,,,,9,38,1,2,,,18,84,12,,,577,10679,8,,,1,11,9,,,2,,1,,,,,,1,12,,2164,,1,3,1,,,,164,,1,,1,,27,,,,,105,8,,,,3,,
56,1557.8,,,,,,,1,33,,,11,,8,,,8,,1,1,1,,1,1,,0,,,,114,57,,,3,,,2,10,11,,,3,,5,,5,,,1,3,67,,1,,,11,227,12,,1,493,10679,8,2,,,23,25,,,8,,,,13,,,,,5,,889,,,39,1,,2,1,46,,,,1,4,19,,,,,26,11,,1,2,2,,
57,1657.2,,,,,,,7,48,,,,1,9,,,6,1,,5,,,,,,0,,,,41,37,,,4,,,,16,8,,,,,4,,4,,,,3,56,1,5,3,,11,285,4,,,819,10679,8,,,,16,41,,,,,,,12,,,,,8,,508,,,53,8,,,,49,,,,1,,10,,,,,51,1,,,1,2,,
58,1756.6,,,,2,,,1,72,,,2,,4,,,,,,,,,,1,,0,,,,66,18,,,1,,,,21,19,,,,,2,,10,,,,1,32,,7,1,,12,123,7,,,657,10679,8,,,,19,18,,,1,,1,,3,,,,,23,1,814,,,24,3,,1,,211,,,,1,,35,,,,,99,4,,1,3,,,
59,1856,,,,,,,1,109,,,14,3,4,,,7,,,,,,,1,,0,,,,59,5,,,,,,,8,23,,,,,,2,20,,,,4,68,,5,,,8,167,15,,,520,10679,8,,,,15,6,,,7,,1,,2,,,,,12,,965,,,4,,,,1,92,,,,1,,44,,,,,105,12,,3,,,,
60,2015.04,,,,,,,,24,,,2,,4,,,2,,,2,,,,,,0,,,,53,59,,,8,1,,,13,4,,,,,1,,2,,,,,34,,2,1,,16,332,4,,,534,10679,8,1,,,13,11,,,,,,,9,,,,,,,476,,,73,,,,,21,,,,1,,7,,,,,26,2,,,4,1,,
61,2114.44,,,,,,,4,36,,,1,,7,,,2,,1,3,,,,,,0,,,,93,56,,,6,,,,21,11,,,,,6,,7,,,,2,42,1,14,,,40,351,3,,,934,10679,8,1,,,21,8,,,2,,,,9,,,,,2,,918,,2,61,3,,,1,36,,,,1,,20,,,,,28,5,,2,3,,,
62,2193.96,,,,,,1,7,77,,,8,1,4,,,4,,,,,,1,,,0,,,,47,43,1,5,3,1,,,14,15,,,,,1,,2,,,,8,30,,11,,,5,134,6,,2,1110,10679,8,,,,19,10,,,5,,,,9,,,,,9,,2152,,,60,,,,2,111,,,,1,,32,,,,,106,6,,5,,1,,
63,2273.48,,,,,,,,13,,,4,,6,,,4,1,,1,,,2,,,0,,,,67,73,,2,5,,,,12,3,,,,,2,,2,,,,1,39,,4,,,26,492,3,,,516,10679,8,,,,17,18,,,,,,,6,,,,,2,,702,,,97,1,,,1,22,,1,,1,,9,,,,,17,1,,1,,1,,
64,2353,,,,,1,,4,46,,,3,,3,,,3,,,,,,,2,,2,6,,,35,24,,,4,1,,1,15,17,,,,,,,8,,,,,53,,5,1,,27,314,5,,,606,10679,8,1,,,9,4,,,5,,,,2,,,,,4,,1505,,4,59,1,1,,1,38,,,,1,,27,,,,,45,8,,4,,,,
65,2512.04,,,,,,,5,83,,,3,,1,,,6,1,1,3,,,,,1,0,1,,,43,60,1,,12,,,,13,18,,,,,,1,5,,,,2,39,,8,8,,11,184,13,,1,1548,10679,8,1,,,17,13,,,2,,,,9,,,,,11,,1287,,1,224,1,,,5,71,,,,1,,44,,,,,69,1,,3,2,2,,
66,2591.56,,,,,,,7,72,,,8,,2,,,10,,,,,,,,1,2,1,,,38,48,1,1,13,,,,21,10,,,,,,,5,,,,6,30,2,9,,,23,148,8,,,1054,10679,8,1,1,,15,11,,,1,,,,9,,,,,11,,1052,,3,152,1,,,1,55,,,,1,,47,,,,,51,4,,4,1,1,,
