 ,Cal_yrs_BP,max,min,Acrostichum,Adiantum,Alnus incana-type,Amaranthaceae,Ambrosia,Anacardiaceae undiff.,Apiaceae,Arecaceae-type undiff.,Artemisia,Asteroideae undiff.,Avicennia,Betula,Brassicaceae,Caryophyllaceae,Celtis,Citrus,Cladium,Coccoloba,Conocarpus,Cupressaceae,Cyperaceae undiff.,Dinoflagellata,Dodonaea,Dryopteris-type,Ericaceae,Eucalyptus spike,Eucalyptus suspension,Eucalyptus suspension,Eugenia-type,Euphorbiaceae,Fabaceae,Fagus,Forestiera,Fraxinus,Galium,Huperzia lucidula-type,Indeterminable,Laguncularia,Lamiaceae,Lemnoideae,Liliaceae,Ludwigia,Moraceae,Myrica,Myriophyllum,Oleaceae undiff.,Osmunda,Ostrya/Carpinus,Persicaria maculosa-type,Pinus,Plantago,Poaceae,Potamogetonaceae,Pteridium-type,Quercus,Rhizophora,Rhus/Toxicodendron,Rhynchospora,Rosaceae,Ruppia maritima,Rutaceae undiff.,Sabal,Sagittaria,Salix,Sample quantity,Sapindaceae undiff.,Sisyrinchium-type,Sparganium-type,Sphagnum,Taxus,Thalictrum,Trema,Typha latifolia,Ulmus,Unknown,Unknown (trilete),Urticaceae,Verbenaceae
,5291,,,,4,,,,,,,2,,,,,,16,,5,,,604,1,,,,,884,115000,1,2,10,,,,,,,14,,,,,,,5,,,,,,,,,,,2,,,,,,,8,,,1,1,,,,,,,,,4,,,
,5399,,,,3,,,,,,,,,,,,,5,,2,,,586,,,,,,378,115000,1,,27,,,,,,,21,,,,,,,2,,,1,,,1,,,,,3,,1,,,,,10,,,1,,,,,,,,,,4,,,
,5507,,,6,,,1,,,,,,,,,,,15,,3,,,441,,,5,1,,487,115000,1,,3,,1,,,,,27,,,,,,,2,,,1,,,3,,,,,1,,,,,,,35,,,1,,,,,,,,,1,6,,,
,5615,,,17,4,,,,,1,,1,,,,,,34,,4,,,824,1,,,,,636,115000,1,,4,,1,,,,,12,,,,,,,8,,,,,,3,,,,,4,1,,,,,,33,,,1,,1,,,,,,,,5,2,,
,5723,,,3,3,1,,,,,,,,,,,,10,,2,,,273,1,,,,,447,115000,1,,,,,,,,,13,,,,,,,2,,,,,,,,,,,1,,,,,,,3,,,1,,,,,,,,,,2,,,
,5804,,,2,6,,,,,,,1,,,,,,4,,,,,442,,,,,,436,115000,1,,,,,,,,,2,,,,,,,,,,,1,,1,,,,,,,,,,,,1,,,1,,,,,,,,,1,,,,
,5939,,,1,3,,,,,,,,,,,,,7,,,,,407,3,,,,,234,115000,1,,,,,,,,,10,,,,,,,8,,,,,,,,1,,,1,,,,,,,7,,,1,,,,,,,,,,3,,,
,6052,,,1,,,,,,,,,,,1,,,8,,3,,,106,2,,18,,,349,115000,1,,,,,,,,,8,,,,,,,3,,,1,,,,,,,,4,,,,,,,2,,,1,,,,,,,,,,1,,,
,6181,,,,2,,,,1,,,2,,,2,,,32,1,3,,,697,,,1,,,1056,115000,1,,1,,,,,,,,,,,,,,6,,,2,,,,,,,,,,,,,,,3,,,1,,,,,,,,,,3,,,
,6310,,,,3,,,,,,,2,,,1,,,17,1,10,,,423,1,,6,1,,1286,115000,1,,,,,,,,,6,,,,,,,14,,,1,,,,,,,,1,,1,,,,,,,,1,,,,,,,,,,4,,,
,6439,,,,4,1,,,,,,2,,,2,,,13,,,,,713,2,,1,,,1313,115000,1,,2,,,,,,,14,,,,,,1,26,,,3,,,2,,,,,,1,,,,,,2,,,1,,,,,,,,,,4,,,
,6568,,,1,,1,,,,1,,1,,,,,,9,,6,,,319,2,,1,3,,693,115000,1,,,,,,,,,11,,,,,,,12,,,1,,,1,,,,,1,2,,,,,,2,,,1,1,,,,,,,,,1,,,
,6697,,,,,,,,,,,,,,1,,,12,,,,,246,,,,2,,295,115000,1,,3,,,,1,,,2,,,,,,,17,,,5,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,
