"","Pandanus.tectorius","Arecaceae","Cocos.nucifera","Liliaceae","Urticaceae.Moraceae","Cyperaceae","Trilete.Psilate","Monolete.Psilate","Achrostichum.aureum","Aspleniaceae","Blechnaceae","Dicranopteris","Dryopteris","Hypolepis","Davallia.Histiopteris","Polypodiaceae","Macaranga.comp.","Acalypha","Premna","Trema","Glochidion.societales","Homalium","Erythrina.variegata","Fabaceae","Polygonaceae","Sophora.tomentosa","cf..Sapindus","cf..Brassicaceae","cf..Scaevola","cf.Coprosma","cf.Meryta","cf..Pouteria","Hernandia","Euphorbiaceae","Solanaceae","Myrtaceae","Tournefortia.argentea","Timonius","Triumfetta.procumbens","Colocasia.esculenta","Aleurites.moluccana","Asteraceae.tubuliflorae","Asteraceae.Liguliflorae","Chenopodiaceae.pos..algae","Poaceae..40.microns","Poaceae..40.microns.1","cf..Canna.indica","cf..Calophyllum","Labiatae","Pteris","Cyclosorus.interruptus","Sphaerostephanos","Comellina.diffusa","cf..Morinda.citrifolia","cf..Hedyotis","cf..Psychotria","cf..Apocynaceae","Casuarina","Barringtonia","Ludwigia.peploides","Hibiscus.tiliaceus","Malvaceae","Angiopteris","Bryophytes..liverwort.","Nothofagus.brassospora","Pinus..exotic.","Cal_yrs_BP","min","max"
"11",0.215946843871927,0.00996677740870432,0,0,0.0199335548174086,0.0465116279039535,0.0697674418509302,0.152823920280133,0.308970099659834,0,0,0.00664451826913621,0.00664451826913621,0.00332225913956811,0.00332225913956811,0,0.0166112956778405,0,0,0,0.0199335548174086,0,0.00332225913956811,0,0,0.0199335548174086,0,0,0.0132890365382724,0,0,0,0,0,0,0,0.00332225913956811,0.00332225913956811,0,0,0,0.00664451826913621,0,0,0.00332225913956811,0.00664451826913621,0.00996677740870432,0.00664451826913621,0,0.0431893687643854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,719,NA,NA
"12",0.682432432437842,0.00337837837519403,0,0,0.0101351351357172,0,0.0337837837823457,0.0405405405428689,0.0405405405428689,0,0,0,0.0135135135109112,0,0.0135135135109112,0.0168918918962404,0.0202702702714344,0,0,0.0135135135109112,0.0101351351357172,0.00675675676052319,0,0,0,0,0,0,0,0.00337837837519403,0,0,0,0,0,0,0.00337837837519403,0.00337837837519403,0,0,0,0.00337837837519403,0,0.00337837837519403,0,0,0,0.0101351351357172,0,0.0608108108143033,0,0,0,0,0,0,0,0,0,0,0,0,0.00675675676052319,0,0,0,774,NA,NA
"13",0.5800000000058,0.00666666667006667,0,0,0,0.0100000000001,0,0.0633333333306333,0.1500000000015,0,0,0,0,0.00333333333003333,0.0566666666705667,0.00666666667006667,0.0133333333301333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0166666666701667,0,0,0,0.00333333333003333,0,0,0,0,0,0.00333333333003333,0,0,0,0.00666666667006667,0,0.0700000000007,0,0,0,0,0,0,0,0,0.00333333333003333,0,0,0.00333333333003333,0.00333333333003333,0,0,0,852,NA,NA
"14",0.725752508354459,0.0100334448164226,0,0,0.0133779264185524,0.0066889632142929,0.0167224080307155,0.0334448160513976,0.0535117056842429,0,0,0,0,0,0.0066889632142929,0.0100334448164226,0.0635451505006655,0,0,0,0.00334448160212973,0.0066889632142929,0,0.0267558528471382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00334448160212973,0,0,0,0,0,0,0,0,0,0,0.0100334448164226,0,0,0,0,0,0,0,0,0.00334448160212973,0,0,0.0066889632142929,0,0,0,0,937,NA,NA
"15",0.933333333346667,0,0,0,0.00333333333016667,0,0.0100000000005,0,0.0333333333316667,0,0,0,0,0.00333333333016667,0,0,0.00333333333016667,0,0,0,0,0,0,0.00333333333016667,0,0,0,0,0,0,0,0,0,0,0,0,0.00333333333016667,0,0,0,0,0,0,0.00666666667033333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,997,NA,NA
"16",0.405660377395943,0,0,0,0.0188679245298113,0,0.0754716981092453,0.0754716981092453,0.311320754696887,0,0,0,0,0,0.0754716981092453,0,0,0,0,0,0.00943396225990566,0,0,0,0,0,0,0,0.00943396225990566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0188679245298113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1055.5,NA,NA
"17",0.932798395181344,0,0,0,0,0,0,0.00100300902997994,0.0601805416187964,0,0,0,0,0,0,0,0.00100300902997994,0.00100300902997994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00401203610991976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1120.5,NA,NA
"18",0.84890109890701,0,0,0,0.00274725275007034,0,0.00549450549008574,0.0164835164803122,0.07692307692153,0.00274725275007034,0,0,0,0,0.00549450549008574,0,0,0.00274725275007034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00274725275007034,0,0,0,0,0,0.0357142857106947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1178.5,NA,NA
"19",0.66071428574916,0.00595238095123654,0,0,0.00595238095123654,0,0.0089285714268548,0.0565476190468661,0.16964285712036,0,0.0297619047663017,0,0,0.00595238095123654,0,0,0.0089285714268548,0.0089285714268548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0238095238049461,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0148809523780913,0,0,1242,NA,NA
"20",0.927350427344359,0,0,0,0,0.0021367521398718,0.0128205128192308,0.0021367521398718,0.0491452991470513,0,0,0,0,0,0.0021367521398718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00427350426974359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1299,NA,NA
