"","Abies","Alnus","Amaranthaceae","Apiaceae","Artemisia","Asteroideae","Betula","Brassicaceae","Buxus","Campanulaceae","Carpinus","Caryophyllaceae","Cichorioideae","Cistus","Convolvulaceae","Corylus","Cyperaceae","Ephedra","Ericaceae","Euphorbia","Fagus","Fraxinus","Geraniaceae","Hedera","Helianthemum","Juglans","Juniperus","Lamiaceae","Ligustrum","Liliaceae","Malva","Myriophyllum","Olea","Phillyrea","Pinus","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Potamogeton","Quercus","Quercus ilex-type","Quercus robur-type","Ranunculaceae","Rhamnus","Rubiaceae","Salix","Sparganium-type","Tilia","Typha latifolia-type","Ulmus","Cal_yrs_BP","min","max"
"S411635","","1","2","29","4","137","3","2","","","","3","","","","9","3","46","9","","","","","2","","","15","6","","6","","","","2","33","","","3","","","","3","3","","","","","1","6","","","7651","7785","7499"
"S411636","","3","5","28","13","152","","3","","","","","","","","25","3","23","2","","","","","","","","8","5","","6","","","","","48","5","","10","","5","","10","16","4","","","","8","3","","","7659","7794","7509"
"S411637","","1","4","46","20","106","1","","","","","","","","","28","","13","2","","","","1","","","","8","7","","4","","","","","63","10","4","7","","7","","4","9","6","","","","4","6","","","7668","7801","7518"
"S411638","","2","2","46","13","123","","","","","","","","","","40","2","33","2","","","","","","","","17","1","","7","","","","","42","5","1","6","","3","","2","6","5","","","","","1","","","7676","7809","7528"
"S411639","","","3","75","16","149","","2","3","","","","","","","21","7","27","2","","","","","","","","19","3","","3","","","","","44","4","4","16","","7","","3","1","5","","","","3","1","","","7685","7816","7537"
"S411640","","1","5","31","15","133","","2","","","","","3","","","16","1","17","3","","","","","","","","17","","","3","","","","","36","13","2","9","","4","","10","7","5","","2","","2","4","","","7694","7824","7546"
"S411641","","1","1","23","1","161","","3","","","","","","","","29","6","24","3","","","","","","","","40","3","","","","","","","48","12","1","24","","7","","1","15","2","","","","5","3","","","7702","7832","7556"
"S411642","","2","4","41","13","205","2","","3","","","","","2","","23","2","48","5","","","","","","","","20","3","","10","","","","","76","11","1","5","","6","","4","4","6","","","","11","4","","3","7711","7840","7565"
"S411643","","2","1","50","9","162","1","","1","","","","1","","","31","2","32","","","","","","1","","","14","6","","5","","","","","24","8","1","12","2","7","","1","","1","","2","","2","6","","3","7719","7848","7575"
"S411644","","1","6","61","6","191","","","","","","","","","","37","4","28","1","","","","","","","","18","6","","13","","","","","46","2","2","20","","3","2","6","6","1","","","","3","2","","","7728","7855","7583"
"S411645","","1","1","50","9","197","2","7","","","","","","2","","33","3","55","2","","","","","","","","22","10","","6","","","","","27","5","","2","","4","2","3","9","","","","","17","2","","1","7737","7864","7594"
"S411646","","4","1","34","18","141","32","3","","","","","","","","22","","18","5","","","","","","","","21","3","","3","","","1","","50","19","1","2","","","","4","3","5","","","","4","","","","7747","7874","7605"
"S411647","","2","4","31","6","186","","","","","","","2","","","14","","10","6","","","","","","","","8","2","","6","","","","","46","4","","5","","9","7","12","15","1","","","","4","2","","","7756","7882","7615"
"S411648","","1","3","34","5","181","4","","","","","","","","","31","3","44","3","","","","","","","","44","3","","7","","","1","","61","5","","19","","3","","3","12","","","","","2","1","","","7766","7892","7626"
"S411649","","4","1","33","9","141","","3","","","","","","","","19","2","40","3","","","","","","","","35","7","","","","","","","52","7","","13","","2","","2","7","3","","","","3","1","","","7776","7901","7636"
"S411650","","4","3","41","7","202","3","","3","","","","2","","","36","5","47","4","","","","","","","","35","4","","5","","","","","71","6","","18","3","3","","3","4","1","","","","3","5","","","7785","7910","7646"
"S411651","","4","1","35","7","161","","","","","","","","","","28","2","44","5","","","","","","","","34","2","","9","","","","","67","2","","16","2","2","","1","2","1","","","","5","4","","","7795","7919","7656"
"S411652","","","1","56","7","203","2","3","","","","2","","","","29","","38","1","","","","","","","","14","10","","4","","","","","49","4","","5","","22","4","3","7","1","","","","13","5","","","7804","7929","7667"
"S411653","","2","1","32","6","212","","","","","","","1","","","31","2","14","1","","","","","","","","16","3","","3","","","","","42","6","","4","","7","","3","5","1","","","","4","4","","3","7814","7939","7678"
"S411654","","1","2","55","6","124","1","","","","","","","","","27","2","21","1","","","","1","","","","21","2","","3","","","","","46","3","","9","3","16","","4","7","1","","","","7","1","","","7823","7947","7687"
"S411655","","2","2","36","3","136","","","","","","","","","","27","2","24","1","","","","","","","","9","2","","5","","","2","","63","2","","24","2","","","6","8","","","2","","2","","","2","7842","7967","7707"
"S411656","","","1","32","5","154","1","2","","1","","","","2","","30","2","22","6","","","","","","","","8","4","","2","","","","","32","10","","1","","7","","4","4","","","2","","2","2","","","7852","7976","7717"
"S411657","1","1","1","31","9","137","1","","","","","","","","","22","2","27","6","","","","","","","","12","6","","6","","2","3","","51","3","","4","","9","2","6","2","2","","","","5","1","","","7861","7985","7726"
"S411658","","2","1","13","3","152","1","","","","","","1","","","31","1","36","2","","","","","","","","5","5","","1","","","","1","47","5","1","2","","4","","1","2","","","","","4","2","","4","7871","7994","7735"
"S411659","","6","","17","11","181","","","","","","","1","","","21","1","36","3","","","","","","","","3","3","","3","","","","2","69","9","","3","1","11","","1","2","4","","","","9","2","","","7880","8004","7744"
"S411660","1","1","1","31","13","158","","","1","3","","","1","","","53","1","28","1","","","","","","","","21","1","","","","","2","","52","5","","3","","21","","1","2","5","","","","23","","","","7890","8013","7753"
"S411661","","2","","29","5","152","1","","","","","","","2","","27","8","42","2","","","","","","","","22","1","","","","","1","","46","6","1","9","","29","","1","8","1","","","","11","1","","","7900","8022","7762"
"S411662","","2","2","41","4","171","","","","","","","","","","36","3","32","5","","","","","","","","29","","","","","","","","47","17","4","22","","3","","1","3","","","","","12","2","","","7909","8032","7771"
"S411663","","3","4","29","6","94","1","3","1","","","","","","","26","2","26","4","","","","","","","","17","","","","","","","","46","6","1","22","","4","2","1","9","","","","","13","1","","","7919","8041","7780"
"S411664","","4","4","21","3","125","1","2","","","","","1","","","35","3","31","4","","","","","1","","","21","2","","","","","","","61","12","2","27","","12","","1","4","","","","","12","6","","","7928","8051","7789"
"S411665","","","2","43","5","125","1","2","","","","","1","","","23","4","40","2","","","","","","","","14","5","","","","","","","54","5","","29","","14","","6","8","","","","","21","1","1","","7938","8060","7797"
"S411666","","","","26","4","151","","","","","","","","","","13","6","29","","","","","","","","","22","3","","","","","3","","41","4","","36","","7","","3","2","","","","","9","","","","7947","8070","7806"
"S411667","","5","2","17","","110","1","1","1","","","","","","","29","2","34","3","","","","","","","","9","1","","","","","","","36","4","","14","","6","","","2","","","","","17","","","","7957","8079","7814"
"S411668","","","5","21","2","116","","2","2","","","","1","","","23","","17","3","","","","","","","","21","2","","","","","","","62","14","","22","","8","","2","2","","","1","","11","2","","1","7966","8089","7823"
"S411669","1","2","","12","2","105","3","","3","","","","","","","41","","28","4","","","","","","","","18","4","","","","","","","56","4","1","22","","6","","","2","","","","","4","1","","","7976","8099","7832"
"S411670","","3","2","15","3","131","","2","","","","","","","","46","2","16","2","","","","","","","","17","7","","","","","","","33","11","2","18","","4","2","2","3","","","","","13","","","2","7985","8108","7840"
"S411671","","","6","33","2","221","","3","6","","","","4","","","61","8","42","","","","","","","","","41","","","","","","","","65","27","4","34","","11","","3","16","","","","","13","","","3","7995","8117","7848"
"S411672","","3","2","37","3","181","","","2","","","","","","","26","3","32","2","","","","","","","","34","","","","","","","","56","14","","11","","4","","2","5","","","","","10","2","","1","8004","8127","7856"
"S411673","","1","","32","","152","","","","","","","1","1","","40","3","27","5","","","","","","","","27","","","","","","1","","45","14","","5","","7","","","3","","","","","7","2","","1","8014","8136","7864"
"S411674","","","2","38","","206","2","1","","","","","1","1","","33","2","48","3","","","","","","","","11","1","","","","","","","52","16","1","8","","5","","2","2","","","","","4","1","1","","8024","8146","7873"
"S411675","","2","3","41","2","155","1","","3","","","","3","","","38","3","45","2","","","","","","","","14","","","","","","","","36","3","","18","","3","2","2","2","","","","","9","6","","","8034","8157","7882"
"S411676","","2","1","46","","177","3","","","","","","","2","","36","4","36","2","","","","","","","","6","1","","","","","1","","78","12","1","8","","15","","2","3","","","","","12","7","","","8045","8167","7891"
"S411677","","1","1","21","1","164","1","1","","","","","1","1","","44","1","41","2","","","","","","","","10","1","","","","","","","89","6","1","31","","2","2","2","","","","","","6","2","","","8055","8177","7899"
"S411678","","2","1","19","","89","2","1","","","","","","","","21","3","48","2","","","","","","","","6","1","","","","","","","71","12","","15","","5","","1","1","","","","","4","4","","1","8065","8188","7908"
"S411679","","4","2","8","1","140","1","1","1","","","","","1","","24","5","20","","","","","","","","","2","2","","","1","","","","57","6","1","16","","9","","1","","","","1","","7","3","","3","8076","8199","7917"
"S411680","","1","2","7","3","60","","","","","","1","","","","14","13","21","1","1","","","","","","","3","1","","","","","","","69","10","1","12","","10","1","3","2","","","","","5","2","","","8086","8210","7926"
"S411681","","1","3","6","","103","5","1","","","","","1","1","","28","6","38","9","","","","","","","","2","1","","","","","1","","143","7","1","7","","10","","2","7","","","","","13","1","1","1","8097","8220","7934"
"S411682","","1","2","31","3","142","3","","","","","","","","","26","1","32","5","","","","","","","","10","1","","","","","1","","75","13","","7","","11","2","5","11","","","","","5","3","","","8107","8233","7941"
"S411683","","1","3","31","3","176","","","","","","","1","","","34","2","27","4","","","","","","","","13","","","","","","4","","86","15","","5","","6","2","8","12","","","","","7","2","","1","8119","8245","7947"
"S411684","","1","3","35","3","155","4","","","","","","1","","","48","1","33","5","","","","","","","","5","4","","","","","","","73","6","","7","","8","","5","8","","","","","12","1","","1","8138","8267","7960"
"S411685","","2","5","30","1","166","3","2","","","","","2","","","43","6","53","4","","","","","","","","15","2","","","","","","","83","5","","5","","6","1","3","4","","","","","14","2","","","8157","8288","7974"
"S411686","","2","3","17","4","155","2","1","","","","","1","","","46","3","35","3","","","","","","","","4","","","","","","1","","73","4","","13","","5","1","3","4","","","","","15","2","","","8176","8309","7988"
"S411687","","5","4","26","","153","2","","","","","","","","","43","2","33","5","","","","","","1","","4","2","","","","","","","32","3","1","4","","11","2","3","10","","","","","20","1","","","8195","8331","8003"
"S411688","","2","3","28","6","132","2","","","","1","","1","","","35","2","49","5","","","","","","","","","3","","","","","","","43","4","1","7","","14","4","4","4","","","","14","17","1","","1","8214","8352","8018"
"S411689","","","1","33","7","68","","","","","","","","","","50","1","32","1","","","","","","","","16","9","","","1","","2","","43","20","","14","","6","1","3","5","","","1","","16","2","1","2","8224","8364","8026"
"S411690","","4","4","57","2","117","5","","1","","","","1","","","74","4","39","7","","","","","","1","","","2","","","","","1","","44","25","1","7","","7","5","10","12","","","","17","27","","","1","8243","8386","8042"
