"","Alnus","Amaranthaceae","Araliaceae.cf..Didymopanax","Asteroideae","cf..Malpighiaceae","cf..Solanaceae","Cunoniaceae.cf..Weinmannia","Dennstaedtiaceae..Hypolepis.type","Dennstaedtiaceae..Pteridium.type","Dicranopteris","Dryopteris.undiff.","Elaeocarpaceae.cf..Sloanea","Garrya","Ilex","Lamiaceae","Lophosoria","Lycopodiella.cernua","Myrica","Myrsine","Pilea","Pinus","Poaceae","Polypodiaceae..Lepisorus.type","Rubiaceae..Mitracarpus.type","Rubiaceae..Tocoyena.type","Sapindaceae..Dodonaea.type","Urera","Urticaceae.undiff.","Cichorioideae","Cyperaceae","Pteridaceae..Pityrogramma.type","Piper","Hymenophyllaceae","Loranthaceae","Melastomataceae","Polypodiaceae..Polypodium.pellucidum.type","Unknown..trilete.6.","Ericaceae","Lycopodiaceae.cf..Huperzia","Araliaceae.cf..Oreopanax","Ophioglossaceae","Pteridaceae..Pteris.type","Cal_yrs_BP","min","max"
"145865",0,0,0,0.00371517027863777,0,0,0.00247678018575851,0.00247678018575851,0.0705882352941176,0.00247678018575851,0,0,0.0086687306501548,0,0,0.459442724458204,0,0.00123839009287926,0.00123839009287926,0,0.223529411764706,0.122600619195046,0.0594427244582043,0.00495356037151703,0,0,0,0,0,0,0,0.0247678018575851,0.00123839009287926,0.00743034055727554,0,0.00123839009287926,0.00123839009287926,0,0.00123839009287926,0,0,0,431,NA,NA
"145866",0,0,0.00157109190887667,0.0172820109976434,0,0,0,0.00314218381775334,0.295365278868814,0.00314218381775334,0,0,0.01413982717989,0.00157109190887667,0,0.171249018067557,0.00157109190887667,0.00628436763550668,0.00471327572663001,0.00157109190887667,0.205027494108405,0.175962293794187,0.0377062058130401,0.00157109190887667,0,0,0,0.00157109190887667,0,0.00157109190887667,0.00157109190887667,0.0329929300864101,0,0.00942655145326002,0,0,0.0109976433621367,0,0,0,0,0,506,NA,NA
"145867",0,0,0,0.0156709108716944,0,0,0,0.0039177277179236,0.186092066601371,0,0,0,0.0117531831537708,0,0,0.0940254652301665,0,0,0.00587659157688541,0,0.286973555337904,0.258570029382958,0.0548481880509305,0.00979431929480901,0,0,0,0,0,0,0,0.0509304603330069,0.00587659157688541,0.0039177277179236,0.0019588638589618,0,0.00979431929480901,0,0,0,0,0,576,NA,NA
"145868",0,0,0.00217864923747277,0.0305010893246187,0,0,0.00217864923747277,0,0.16557734204793,0.0065359477124183,0,0,0.00435729847494553,0.00435729847494553,0,0.106753812636166,0.00217864923747277,0.00871459694989107,0.00217864923747277,0,0.248366013071895,0.300653594771242,0.0631808278867102,0,0,0,0,0.00217864923747277,0,0,0,0.028322440087146,0,0.0065359477124183,0,0,0.0130718954248366,0,0.00217864923747277,0,0,0,726,NA,NA
"145869",0,0,0,0.0209302325581395,0,0,0,0.00232558139534884,0.137209302325581,0,0,0,0.00465116279069767,0.00232558139534884,0,0.086046511627907,0,0.00930232558139535,0.0186046511627907,0,0.197674418604651,0.376744186046512,0.0581395348837209,0.00232558139534884,0,0,0,0,0,0,0,0.0511627906976744,0,0.0162790697674419,0.00232558139534884,0,0.00697674418604651,0,0.00465116279069767,0.00232558139534884,0,0,834.5,NA,NA
"145870",0,0.0016597510373444,0.0033195020746888,0.0298755186721992,0,0,0.0016597510373444,0,0.0232365145228216,0.0232365145228216,0,0,0.00663900414937759,0.00497925311203319,0.0016597510373444,0.12448132780083,0,0.00829875518672199,0.00995850622406639,0.0016597510373444,0.138589211618257,0.478008298755187,0.0265560165975104,0,0,0,0,0.00497925311203319,0,0.0016597510373444,0,0.0863070539419087,0.0016597510373444,0,0,0,0.0199170124481328,0,0,0,0.0016597510373444,0,951,NA,NA
"145871",0,0,0,0.0276497695852535,0,0,0,0,0.0714285714285714,0.00460829493087558,0,0.00230414746543779,0.00460829493087558,0,0,0.163594470046083,0,0.00691244239631336,0.00691244239631336,0,0.124423963133641,0.414746543778802,0.0345622119815668,0.00460829493087558,0,0,0,0,0,0,0,0.0898617511520737,0.00921658986175115,0.00691244239631336,0,0,0.0115207373271889,0,0.00691244239631336,0.00691244239631336,0.00230414746543779,0,1072,NA,NA
"145872",0,0.00263504611330698,0,0.0263504611330698,0,0,0,0,0.0289855072463768,0,0,0,0.0105401844532279,0,0,0.129117259552042,0,0.00790513833992095,0.0105401844532279,0,0.117259552042161,0.508563899868248,0.0237154150197628,0.00263504611330698,0.00263504611330698,0,0,0,0,0,0.00263504611330698,0.0922266139657444,0,0.0105401844532279,0,0.00263504611330698,0.0184453227931489,0,0,0,0.00263504611330698,0,1191,NA,NA
"145873",0,0.00250312891113892,0,0.0275344180225282,0,0,0,0.00250312891113892,0.0425531914893617,0.00500625782227785,0,0,0.0350438047559449,0.00250312891113892,0,0.0525657071339174,0,0.0175219023779725,0.00500625782227785,0,0.0688360450563204,0.538172715894869,0.0350438047559449,0,0.00250312891113892,0,0,0,0,0,0,0.120150187734668,0.0175219023779725,0.00500625782227785,0.00250312891113892,0.00500625782227785,0.00250312891113892,0,0.00500625782227785,0.00500625782227785,0,0,1377.5,NA,NA
"145874",0,0,0.00263852242744063,0.0263852242744063,0,0,0,0,0.0211081794195251,0.00263852242744063,0,0,0.0211081794195251,0,0.00263852242744063,0.0448548812664908,0,0.0184696569920844,0.0131926121372032,0,0.050131926121372,0.609498680738786,0.0237467018469657,0.00527704485488127,0,0,0,0.00263852242744063,0,0.0079155672823219,0,0.121372031662269,0.0158311345646438,0.00263852242744063,0,0.00527704485488127,0.00263852242744063,0,0,0,0,0,1575,NA,NA
"145875",0,0,0,0.0280612244897959,0,0,0.00255102040816327,0,0.0102040816326531,0.0433673469387755,0,0,0.0102040816326531,0,0,0.104591836734694,0.00255102040816327,0.0153061224489796,0.00510204081632653,0,0.0510204081632653,0.561224489795918,0.0127551020408163,0.00255102040816327,0,0,0,0,0,0.0076530612244898,0,0.112244897959184,0.0229591836734694,0.00510204081632653,0,0,0.00255102040816327,0,0,0,0,0,1776,NA,NA
"145876",0,0,0,0.0214190093708166,0,0,0,0,0.0428380187416332,0,0,0,0.0214190093708166,0.00267737617135207,0,0.0214190093708166,0,0.0428380187416332,0.00535475234270415,0,0.0468540829986613,0.586345381526104,0.0107095046854083,0.00267737617135207,0,0,0,0,0,0.00267737617135207,0,0.152610441767068,0.0187416331994645,0.00803212851405622,0,0.00267737617135207,0.00535475234270415,0,0.00267737617135207,0,0.00267737617135207,0,1979,NA,NA
"145877",0,0,0,0.0245700245700246,0,0,0,0,0.0319410319410319,0.00491400491400491,0,0,0.0147420147420147,0,0,0.0294840294840295,0.00245700245700246,0.0122850122850123,0.0147420147420147,0,0.0565110565110565,0.636363636363636,0.0122850122850123,0.0122850122850123,0,0,0,0,0,0,0,0.135135135135135,0.00737100737100737,0,0,0.00245700245700246,0,0.00245700245700246,0,0,0,0,2179.5,NA,NA
"145878",0,0.00261437908496732,0,0.0209150326797386,0,0,0,0,0.0209150326797386,0,0,0,0.0183006535947712,0,0,0.0313725490196078,0,0.0366013071895425,0.00261437908496732,0.00261437908496732,0.0379084967320261,0.61437908496732,0.00261437908496732,0.00784313725490196,0,0,0,0,0,0,0,0.17516339869281,0.00261437908496732,0.00784313725490196,0,0.00522875816993464,0,0,0,0,0.0104575163398693,0,2423,NA,NA
"145879",0,0,0,0.0271493212669683,0,0,0,0,0.0271493212669683,0.00603318250377074,0,0,0.00603318250377074,0.00301659125188537,0.00301659125188537,0.0120663650075415,0,0.0150829562594268,0.00603318250377074,0,0.0346907993966818,0.624434389140271,0.0211161387631976,0.00603318250377074,0,0,0,0,0,0,0,0.177978883861237,0.0120663650075415,0,0,0.00301659125188537,0,0.00603318250377074,0,0.00301659125188537,0.00603318250377074,0,2788,NA,NA
"145880",0,0,0,0.020997375328084,0,0,0.0026246719160105,0,0.0393700787401575,0.005249343832021,0,0,0.047244094488189,0.0026246719160105,0,0.0288713910761155,0,0.0078740157480315,0.005249343832021,0,0.0551181102362205,0.514435695538058,0.0078740157480315,0.0183727034120735,0,0,0,0.0026246719160105,0,0,0,0.194225721784777,0.0341207349081365,0.0026246719160105,0.0026246719160105,0.005249343832021,0,0,0,0,0,0.0026246719160105,3160,NA,NA
"145881",0,0,0,0.0264200792602378,0,0,0,0,0.0528401585204756,0.00528401585204756,0,0,0.0184940554821664,0,0,0.0211360634081902,0,0.0184940554821664,0.00264200792602378,0.00264200792602378,0.0488771466314399,0.55217965653897,0.0158520475561427,0.00792602377807133,0,0,0,0,0,0,0,0.198150594451783,0.0158520475561427,0.00264200792602378,0,0,0.00264200792602378,0.00264200792602378,0.00264200792602378,0,0.00264200792602378,0,3537,NA,NA
"145882",0,0,0,0.0205278592375367,0,0,0,0,0.0645161290322581,0,0,0,0.0146627565982405,0,0,0.032258064516129,0,0.0410557184750733,0.00293255131964809,0,0.0498533724340176,0.55425219941349,0.0117302052785924,0.0117302052785924,0.00293255131964809,0,0,0,0,0,0.00293255131964809,0.164222873900293,0.0146627565982405,0.00293255131964809,0,0.00293255131964809,0.00293255131964809,0,0,0,0,0.00293255131964809,3923,NA,NA
"145883",0,0,0.00232828870779977,0.0256111757857974,0,0,0,0,0.0349243306169965,0,0,0,0.039580908032596,0.00465657741559953,0,0.0372526193247963,0,0.030267753201397,0.0116414435389988,0,0.0291036088474971,0.533178114086147,0.0116414435389988,0.00465657741559953,0,0,0,0,0,0,0,0.181606519208382,0.0349243306169965,0,0.0069848661233993,0.00465657741559953,0,0,0,0,0.0069848661233993,0,4237,NA,NA
"145884",0,0,0,0.0208023774145617,0,0,0,0,0.0267459138187221,0.00297176820208024,0,0,0.0594353640416048,0,0.00297176820208024,0.0356612184249629,0,0.0148588410104012,0.00594353640416048,0,0.0490341753343239,0.50222882615156,0.00594353640416048,0.0148588410104012,0,0,0,0,0,0,0,0.231797919762259,0.0237741456166419,0,0,0.00297176820208024,0,0,0,0,0,0,4365,NA,NA
"145885",0,0,0,0.00505050505050505,0.00252525252525253,0,0,0,0.0378787878787879,0,0,0,0.053030303030303,0,0,0.00252525252525253,0,0.0227272727272727,0.00252525252525253,0,0.0328282828282828,0.426767676767677,0.0202020202020202,0.0101010101010101,0,0,0,0,0,0,0.00252525252525253,0.315656565656566,0.0580808080808081,0.00252525252525253,0.00505050505050505,0,0,0,0,0,0,0,4493.5,NA,NA
"145886",0,0,0,0.00712589073634204,0,0,0,0,0.0403800475059382,0.00237529691211401,0,0,0.0213776722090261,0.00237529691211401,0,0.0736342042755344,0,0.00712589073634204,0.0166270783847981,0,0.0237529691211401,0.437054631828979,0.0190023752969121,0.00237529691211401,0,0,0,0,0,0,0.00237529691211401,0.275534441805226,0.0570071258907363,0.00475059382422803,0,0.00237529691211401,0.00237529691211401,0,0,0.00237529691211401,0,0,4617.5,NA,NA
"145887",0,0.00263852242744063,0,0.0158311345646438,0,0,0,0,0.0237467018469657,0,0,0,0.0211081794195251,0.0079155672823219,0,0.029023746701847,0,0.0158311345646438,0.00263852242744063,0,0.0211081794195251,0.493403693931398,0.0263852242744063,0.00527704485488127,0,0,0,0,0,0,0,0.282321899736148,0.0395778364116095,0.00527704485488127,0,0.00527704485488127,0,0.00263852242744063,0,0,0,0,4743,NA,NA
"145888",0,0,0,0.0177890724269377,0,0,0,0,0.0254129606099111,0,0,0,0.0279542566709022,0.00254129606099111,0.00254129606099111,0.0279542566709022,0,0.0127064803049555,0.00254129606099111,0,0.0216010165184244,0.442185514612452,0.0304955527318933,0.00508259212198221,0.00254129606099111,0,0,0,0,0,0,0.332909783989835,0.0406607369758577,0,0,0.00254129606099111,0.00254129606099111,0,0,0,0,0,4869,NA,NA
"145889",0,0,0,0.017743979721166,0,0,0,0,0.0405576679340938,0,0,0,0.0304182509505703,0.0126742712294043,0,0.0380228136882129,0,0.0278833967046895,0,0,0.0114068441064639,0.367553865652725,0.0278833967046895,0.017743979721166,0,0,0,0,0,0,0,0.359949302915082,0.0430925221799747,0.00253485424588086,0,0,0,0.00253485424588086,0,0,0,0,4993,NA,NA
"145890",0,0,0,0.0105932203389831,0,0,0,0,0.00635593220338983,0.0233050847457627,0,0,0.0254237288135593,0.0148305084745763,0,0.125,0.00211864406779661,0.0211864406779661,0.00423728813559322,0,0.0148305084745763,0.313559322033898,0.0360169491525424,0.00635593220338983,0.00211864406779661,0,0,0,0,0,0,0.269067796610169,0.110169491525424,0.00423728813559322,0,0.00423728813559322,0,0.00211864406779661,0,0,0.00423728813559322,0,5113,NA,NA
"145891",0,0.00272108843537415,0,0.0136054421768707,0,0,0,0,0.019047619047619,0.0054421768707483,0,0,0.0353741496598639,0.0136054421768707,0,0.0408163265306122,0,0.0136054421768707,0.0054421768707483,0,0.00408163265306122,0.351020408163265,0.0272108843537415,0.00816326530612245,0,0,0,0,0,0,0,0.389115646258503,0.0653061224489796,0,0,0.00272108843537415,0.00272108843537415,0,0,0,0,0,5149,NA,NA
"145892",0,0,0,0.0157273918741809,0,0,0,0,0.0157273918741809,0,0,0,0.0445609436435125,0.0235910878112713,0,0.0471821756225426,0,0.0235910878112713,0,0,0.0117955439056356,0.440366972477064,0.0288335517693316,0,0,0,0,0,0,0,0.00262123197903014,0.277850589777195,0.0629095674967235,0,0,0.00262123197903014,0,0,0,0,0.00262123197903014,0,5179,NA,NA
