"","Abies","Alnus cf. A. glutinosa","Alnus cf. A. suaveolens","Amaranthaceae","Apiaceae","Arbutus unedo","Artemisia","Asphodelus","Aster-type","Asteroideae","Betula","Brassicaceae","Campanulaceae","Carpinus","Caryophyllaceae","Castanea","Cichorioideae","Cirsium-type","Cistaceae","Corylus","Cyperaceae","Dipsacus","Ephedra","Epilobium","Erica","Fabaceae","Fagus","Filipendula","Fraxinus","Galium-type","Hedera","Helianthemum","Juglans","Lamiaceae","Melampyrum","Myriophyllum","Olea","Paronychia-type","Pedicularis","Phillyrea","Pinus","Pistacia","Plantago","Plantago major/P. media","Poaceae","Poaceae (Cerealia-type)","Polygonum","Populus","Potentilla","Primula","Quercus (deciduous)","Quercus ilex/Q. coccifera","Quercus suber","Rosaceae","Rubiaceae","Rumex","Salix","Sanguisorba","Scrophulariaceae","Tamarix","Thymelaea","Tilia","Typha latifolia","Typha/Sparganium","Ulmus","Urtica","Viburnum","Vitis","cf. Juniperus","cf. Sedum","Cal_yrs_BP","min","max"
"S493002","","18","17","229","2","","10","","8","","1","","","","","8","7","","","2","31","","1","","21","4","1","","","","","","","1","","","4","","","","5","2","1","","77","","","1","1","","6","35","","","","4","1","","","","","","","3","","","","4","","","686","--","--"
"S493015","","73","29","2","","3","2","2","","","1","","","","","","3","1","11","1","","","","","54","","","","","","","","","","","","1","","","1","53","","","","4","","","","","","2","18","1","","","","1","","","","","","","","","","","1","","","4964","--","--"
"S493026","","35","40","1","2","","","3","5","1","1","","","","","","6","1","1","3","7","","","","48","","1","","1","","","","","","1","","9","","","","49","","","","10","","","","","1","19","49","1","","","","2","","","3","3","3","","10","","","1","1","","","5332","--","--"
"S493037","1","50","48","3","","","","2","","3","","","","","","","4","4","4","1","","","","","57","","","1","","","","","","","1","","3","","","","63","","1","","5","","","","","","15","41","1","","","","","","","1","","1","","1","","","","5","","","5978","--","--"
"S493003","","5","5","272","5","","13","","14","","","6","","","","2","19","","5","1","8","","","","28","","1","","1","","","","","3","","","6","","","","10","4","7","","47","","","","","","8","8","1","","","3","","","","","","","","4","","","1","2","","","373","--","--"
"S493012","2","40","27","5","1","2","1","1","","1","","","","","2","","7","4","6","","3","","","","92","","3","","","","1","","","","","","3","","","","78","1","1","","12","2","","","","","7","25","","","","","","","","","","1","","","","","","1","","","4797","--","--"
"S493019","1","46","63","","","5","","2","","","","","","","","","9","2","3","4","1","","","","71","","","","2","","","","","","","","3","","","","49","","1","","10","1","","","","","10","41","","","","","2","","","","","1","","1","1","","","3","1","1","5078","--","--"
"S493028","","40","34","3","1","1","","1","1","1","2","","","","","","3","1","8","6","","","","","71","","1","","","","","","","","","","5","","","1","42","","","","4","","","","1","","11","46","","","","","1","","","2","","","","","1","","","2","1","","5493","--","--"
"S493038","2","35","38","5","2","","","1","","1","2","","","","","","19","8","5","2","1","","","","74","","2","","","","","","","","1","","5","","","","51","1","","","10","","","","","","14","40","","","","","","","","","","1","","","","1","","5","","","6032","--","--"
"S493005","","25","25","200","2","","5","1","1","","3","5","","","","1","3","","2","","2","","","","45","","3","","2","","","","1","","","","2","","","","20","4","3","","16","","","","","","2","106","","","","2","","","","","","","","","","","","5","","","1313","--","--"
"S493017","1","50","28","2","1","3","","2","","2","3","","","1","","","3","2","6","3","","","","","62","","","","2","","","","","2","1","","5","","","","79","","","","5","","","","","","9","25","","","","","1","","","1","","1","","","","","","1","1","","5006","--","--"
"S493025","","44","31","5","2","1","","3","2","3","1","","","","","","4","2","4","2","3","","","","64","","","","","","","2","","1","3","","4","","","","44","1","2","","6","","","","","","14","72","","","","1","1","","","2","","","","","1","","1","3","1","","5278","--","--"
"S493033","","42","49","4","","","","2","","","1","","","","","","11","5","5","4","","","","","58","","","","","1","","","","2","","","5","","","","43","","1","","10","1","","","","","18","51","1","","","","1","","","1","","","","","1","","2","3","1","","5817","--","--"
"S493004","1","5","4","318","","","14","","2","2","1","","","","3","","6","2","7","3","6","","","","25","","2","","","","","","","","3","","16","","","","16","2","1","","27","","","","","","4","32","1","","","","1","","","4","","","","10","","","","1","","","530","--","--"
"S493016","1","67","40","3","","2","","","","","","","","","","","2","4","5","","2","","","","68","","","","","","","","","","2","","","","","","55","","","","3","","","","","","7","33","","","","","","","","1","","2","","1","1","","","2","2","","5038","--","--"
"S493027","","48","38","2","","","1","","2","","","","","","2","","7","","7","1","1","","","","63","","","1","","","","","","1","","","2","","","","50","","","","6","","","","","","15","53","","","","","1","","","1","","3","","1","","","1","1","1","","5386","--","--"
"S493036","","50","51","3","1","1","","1","2","1","1","","","","","","6","5","3","2","1","","","1","79","","1","","","","","","","","1","","7","","","","72","1","1","","10","","","","","","10","59","1","","","","","","","5","","1","","","","","2","3","1","","5924","--","--"
