"","Abies","Acer","Aconitum-type","Alisma-type","Allium","Alnus","Amaranthaceae","Apiaceae undiff.","Arbutus unedo","Arceuthobium oxycedri","Armeria","Artemisia","Asphodelus","Asteroideae","Berberis","Betula","Brassicaceae undiff.","Buxus","Campanulaceae undiff.","Cannabis sativa-type","Carduus-type","Caryophyllaceae","Castanea","Centaurea cyanus-type","Centaurea undiff.","Cerinthe-type","Cichorioideae","Cistus undiff.","Citrus","Corylus","Cyperaceae","Dipsacus-type","Echium-type","Ephedra undiff.","Epilobium-type","Erica undiff.","Euphorbiaceae undiff.","Fabaceae","Fagopyrum-type","Fagus","Filipendula-type","Fraxinus excelsior","Fraxinus ornus","Galeopsis","Genista-type","Gentianaceae undiff.","Geranium-type","Geum/Potentilla","Hedera helix","Helianthemum undiff.","Hippophaë rhamnoides","Hordeum-type","Humulus-type","Hypericum-type","Ilex aquifolium","Juglans regia","Juncus/Luzula","Juniperus-type","Larix decidua","Liliaceae undiff.","Linaria-type","Linum","Mentha-type","Mercurialis undiff.","Myriophyllum undiff.","Myrtus-type","Nuphar cf. N. lutea","Nymphaea alba-type","Olea","Ostrya/Carpinus","Papaver rhoeas-type","Parietaria-type","Persicaria","Phillyrea-type","Picea abies","Pinus","Pinus cembra-type","Pistacia","Plantago coronopus-type","Plantago lanceolata-type","Plantago major-type","Plantago undiff.","Poaceae","Poaceae (Cerealia-type)","Polygonum aviculare-type","Potamogeton-type","Primulaceae","Quercus ilex/Q. coccifera-type","Quercus pubescens-type","Quercus undiff.","Ranunculus-type","Rhamnus-type","Rhinanthus/Veronica","Rhus","Rosaceae (trees) undiff.","Rubiaceae cf. Galium","Rumex acetosa-type","Salix","Sambucus nigra-type","Sanguisorba minor-type","Saxifraga undiff.","Scrophularia/Verbascum","Secale-type","Sedum-type","Spiraea-type","Thalictrum-type","Theligonum cynocrambe","Tilia","Triticum-type","Typha latifolia undiff.","Typha/Sparganium","Ulmus","Urtica dioica-type","Utricularia","Valeriana undiff.","Vitex agnus-castus","Vitis vinifera","Cal_yrs_BP","min","max"
"S472082","5","2","","","","367","3","16","4","","","9","","6","","7","2","","","","","2","","","","","7","","","59","4","","1","","1","200","","","","2","","2","","2","","1","1","1","2","","","","","","","","","3","","","","","","","","","","1","4","3","1","","","","1","1854","","1","","2","","3","80","","","","","16","39","6","1","","","","3","","2","","","","","","","","","1","","3","","","","34","1","","1","","1","7258","--","--"
"S472090","","1","2","","1","106","2","5","","","","2","","3","","1","","","1","","","1","","","","","1","","","39","2","","","","","2","","","","","","1","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","898","","","","","","3","11","","","","","11","1","1","2","","","","","","1","","","","1","","","","","","","","","","","1","","","2","","","9956","--","--"
"S472041","2","","","","","113","7","1","","","","12","","8","","","4","","1","","","10","5","","","","9","","","4","2","","","1","","67","","3","","9","","","","","","","","2","","","","4","","","","","1","2","","","","","","1","","","","","3","","","","","3","1","70","","","4","9","","13","86","","","","","36","10","6","1","","","","","","5","","","","","","","1","","2","","1","","1","","","","","","","1","59","--","--"
"S472043","8","2","","","","223","8","5","1","","","14","1","6","","7","3","","1","","","12","1","","","","14","","","5","2","","","1","","68","","","","21","","","2","1","","2","1","","","","","2","","","","","","11","5","","","","","","","","","","1","","","","","1","1","195","","","11","4","1","24","62","","","2","","163","34","8","","","1","","1","","2","2","","","","","","","","","","5","3","","","","","","","","1","1474","--","--"
"S472045","11","","","","","261","16","4","","","","10","1","10","","8","7","","1","","1","6","","","","","16","","","10","3","","","","","95","1","1","","17","","","5","","","1","","2","","1","","","","","","","1","9","","","","","1","","","","","","","2","","","1","2","2","259","","","6","1","","17","69","","","","","146","31","11","1","","1","","","","3","","2","1","","","","","","","","1","5","","","2","","","","","","1821","--","--"
"S472047","4","2","","","","151","1","5","1","","","12","","5","","15","","","2","","","10","","","","","9","","","2","1","1","","","","126","","","","8","","","1","","","","","2","","","","","","","","","","12","1","","","","1","","","","","","5","","","","","","1","249","","","3","5","","8","42","","","","","86","21","22","","","","","","","3","","","","","","","","","4","","1","","","","2","1","","","","","2047","--","--"
"S472058","","","","1","","163","9","3","","","","14","","7","","7","3","","3","","","2","","","","","7","","","6","","","","","","95","1","","","5","","3","4","1","","","","","","","","1","","","","","","16","","","","","","","1","","","1","1","1","","","","","1","60","","","","","","","43","","","","","109","22","13","","","","","1","","1","","","","","2","","","","4","","1","1","","","3","","","","","1","2556","--","--"
"S472060","11","1","","1","","222","8","2","","","","5","","6","1","14","3","","1","","","9","","","","","9","","","14","","","","","","82","","1","","8","","","9","1","","","","1","","","","","","","","","","27","","","","","","","","","","","2","1","","","","","2","271","1","","1","4","","2","51","","","","","52","48","13","","","","","","3","4","1","","","","","","","","1","","1","2","","","2","","","","","","3358","--","--"
"S472070","","1","1","","","212","8","","3","","","3","","6","1","10","","1","1","","","11","","","","","12","2","","21","","","","","","148","","","","2","","7","5","","","","","","","","","","","","","","","38","","","","","","","","","","","2","1","","","","","1","896","","","1","2","","2","40","","","","","150","63","24","","","","","","1","1","1","","","","","","","","","","2","","","","8","1","","","","1","4580","--","--"
"S472077","2","1","","","","215","6","2","1","","","10","","12","","3","4","","","","","1","","","","","16","1","","36","3","","1","","","175","","","","1","","3","2","","","1","","","","","","","","","1","","","10","","","","","1","1","","","","","6","","","","","1","","605","","","","1","","6","67","","1","","","171","78","36","","","","","1","","4","4","","","","","","","","","","8","","","","1","2","","","","","5819","--","--"
