"","Cupressaceae","Dacrycarpus.dacrydioides","Dacrydium.cupressinum","Fuscospora","Halocarpus","Knightia.excelsa","Metrosideros.undiff","Metrosideros.type2.","Nestegis","Phyllocladus","Podocarpus","Podocarpaceae.undiff","Prumnopitys.ferruginea","Prumnopitys.taxifolia","Streblus","Weinmannia.silivicola","Pisonea.brunoniana","Cordyline","Geniostoma","Rhopalostylis.sapida","Vitex.lucens","Aristotelia","Ascarina.lucida","Asteraceae.undiff.","Coriaria","Coprosma","Dodonaea.viscosa","c.f..Entelea","c.f..Hebe","Leptospermum.type","Macropiper","Melicope","Melicytus.nz","Muehlenbeckia","Myrsine","Pittosporum","Pseudopanax.lessonii","Pseudowintera","Ripogonum.scandens","Parsonsia","Sicyos","Tupeia","Arthropodium","Astelia","Apiaceae.c.f..Scandia","Apiaceae","Brassicaceae","Fabaceae","Galium","Small.Poaceae","Large.Poaceae..Chionochloa.type.","Urticaceae","Xeronema.callistemon","Callitriche","Chenopodium.spp","Taraxacum..Picrus..","Lactuceae","Plantago","Stellaria","Scrophulariaceae","Myosotis","Wahlenbergia","c.f..Dianella","c.f..Sarcocornia","Cyperaceae.undiff.","Carex.type","Cyperus.type","Baumea","Eleocharis.type","Gonocarpus","Haloragis","Isolepis.type","Typha.orientalis","Phormium","Leptocarpus","Pteridium.esculentum","Cyathea.dealbata.type","Dicksonia.squarrosa","Blechnum.procera.type","Histiopteris.incisa","Microsorum.pustulatum","Pyrrosia","Monolete.fern.spores.undiff.","Trilete.fern.spores.undiff.","Anthoceros.spikey.type","Leucopogon.fasciculatus","Microsorum.novo.zelandiae","Hepatic","Pinus","Plantago.lanceolata","Taraxacum.type","Cal_yrs_BP","min","max"
"675",0,0,0.0514705882352941,0.00735294117647059,0,0,0.0147058823529412,0,0,0.0294117647058824,0,0,0.00735294117647059,0.0220588235294118,0,0.0367647058823529,0,0.0955882352941176,0,0.0441176470588235,0,0,0,0,0.00735294117647059,0.0294117647058824,0,0,0,0.0588235294117647,0.0294117647058824,0,0.00735294117647059,0.00735294117647059,0,0,0,0,0.00735294117647059,0,0,0,0,0,0,0,0,0,0.0147058823529412,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102941176470588,0.0955882352941176,0,0,0,0.00735294117647059,0,0.00735294117647059,0.0367647058823529,0.00735294117647059,0.0441176470588235,0,0,0,0,0,0,0.0147058823529412,0,0.0588235294117647,0,0,0,0,0,0.0294117647058824,600,NA,NA
"695",0,0,0.0484581497797357,0.00881057268722467,0.00881057268722467,0,0.00881057268722467,0,0.0176211453744493,0.00881057268722467,0,0.00881057268722467,0.0176211453744493,0,0.00881057268722467,0,0,0.00881057268722467,0,0.026431718061674,0,0,0,0.00881057268722467,0,0.026431718061674,0,0,0,0.00881057268722467,0.0176211453744493,0,0,0,0.0616740088105727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052863436123348,0.0616740088105727,0,0,0,0.00881057268722467,0,0.0440528634361234,0.00881057268722467,0,0,0,0,0,0,0.149779735682819,0,0.00881057268722467,0.0176211453744493,0,0,0,0,0,0.026431718061674,0.0176211453744493,0.0440528634361234,0,0.00881057268722467,0,0,0,0,0.140969162995595,0.026431718061674,0.079295154185022,0.00881057268722467,0,0,0,0,0,614,NA,NA
"706",0,0,0.08984375,0.0078125,0,0,0.015625,0,0.0234375,0.0234375,0.0078125,0.05078125,0,0,0,0,0,0.0234375,0,0.046875,0,0,0,0.0078125,0,0.03125,0,0,0.015625,0.03125,0.0703125,0,0,0,0.03125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0.0234375,0,0,0,0,0,0.0390625,0,0,0,0,0,0,0,0.109375,0,0.015625,0.0078125,0,0.0078125,0,0,0,0.0390625,0.015625,0.015625,0,0,0,0.0078125,0,0,0.046875,0.0234375,0.109375,0,0,0,0,0,0,627,NA,NA
"715",0,0,0.0225022502250225,0.018001800180018,0,0,0.027002700270027,0,0.009000900090009,0.045004500450045,0,0.0225022502250225,0,0,0,0,0,0.063006300630063,0,0.027002700270027,0,0,0,0,0,0.009000900090009,0,0,0.009000900090009,0.099009900990099,0.108010801080108,0,0,0,0.036003600360036,0,0,0,0,0.009000900090009,0,0,0,0,0,0.009000900090009,0,0,0,0.027002700270027,0.018001800180018,0,0,0,0,0,0.009000900090009,0,0,0,0,0,0,0,0.135013501350135,0,0.009000900090009,0.027002700270027,0,0,0.009000900090009,0,0,0.009000900090009,0,0.045004500450045,0,0.0009000900090009,0,0,0,0,0.108010801080108,0.063006300630063,0.027002700270027,0,0,0,0,0,0,636,NA,NA
"723",0,0,0.05213124808341,0.00306654400490647,0.00306654400490647,0,0.0153327200245324,0,0.0551977920883165,0.0214658080343453,0.00919963201471941,0.0122661760196259,0,0.00919963201471941,0,0,0,0.05213124808341,0,0.0551977920883165,0,0,0.00306654400490647,0.00306654400490647,0,0.0122661760196259,0,0,0,0.0398650720637841,0.202391904323827,0,0,0,0.00919963201471941,0.0122661760196259,0.00613308800981294,0,0,0.00306654400490647,0,0,0,0,0,0,0,0,0,0.0306654400490647,0.0183992640294388,0.00919963201471941,0,0,0.00919963201471941,0,0.0153327200245324,0,0.00306654400490647,0,0,0,0,0,0.113462128181539,0.0245323520392518,0.0122661760196259,0,0.00306654400490647,0.00306654400490647,0.000306654400490647,0,0,0.0245323520392518,0,0.00919963201471941,0,0,0.00919963201471941,0,0,0,0.0643974241030359,0.0245323520392518,0.0122661760196259,0,0,0.0337319840539712,0,0,0,644,NA,NA
"726",0,0,0.0313390313390313,0,0.0056980056980057,0,0.0113960113960114,0,0.0455840455840456,0.0398860398860399,0,0.0142450142450142,0,0,0,0,0,0.0626780626780627,0,0.113960113960114,0,0,0.00284900284900285,0.0056980056980057,0,0.0284900284900285,0,0,0.0056980056980057,0.0113960113960114,0.15954415954416,0,0.0056980056980057,0,0.0284900284900285,0.0056980056980057,0,0,0,0,0,0,0,0,0,0.00284900284900285,0,0,0,0.0284900284900285,0.0227920227920228,0,0.0056980056980057,0,0.0056980056980057,0,0.0170940170940171,0,0,0,0,0,0,0,0.148148148148148,0,0.0113960113960114,0.0170940170940171,0,0,0,0.0056980056980057,0,0.0398860398860399,0,0.0113960113960114,0,0,0,0.00284900284900285,0,0,0.0854700854700855,0,0.0113960113960114,0,0.0056980056980057,0,0,0,0,653,NA,NA
"922",0,0,0.0386249517188104,0.00772499034376207,0,0,0.0386249517188104,0,0.0617999227500966,0.0289687137891078,0.0115874855156431,0.0154499806875241,0.00386249517188104,0.00772499034376207,0.00386249517188104,0,0,0.0772499034376207,0,0.146774816531479,0,0,0.000386249517188104,0,0,0.0386249517188104,0,0.00386249517188104,0,0.00386249517188104,0.227887215140981,0,0,0,0.0347624565469293,0.0115874855156431,0.00772499034376207,0,0,0,0,0,0,0,0,0.00772499034376207,0,0,0,0.0154499806875241,0,0.00386249517188104,0,0,0.000386249517188104,0,0.000386249517188104,0,0,0.00386249517188104,0,0,0,0,0.0617999227500966,0,0.00386249517188104,0.00386249517188104,0,0,0,0,0,0.0502124372344535,0,0.00772499034376207,0.00386249517188104,0,0,0,0,0,0.0617999227500966,0.00386249517188104,0,0,0.000386249517188104,0,0,0,0,976,NA,NA
"1053",0,0.00290951411114344,0.0814663951120163,0,0.0116380564445738,0,0.026185627000291,0,0.072737852778586,0.0174570846668606,0.0189118417224324,0.00581902822228688,0.00581902822228688,0.00290951411114344,0,0,0,0.0785568810008729,0,0.10183299389002,0,0,0.00290951411114344,0,0,0.0378236834448647,0,0,0,0.0116380564445738,0.197846959557754,0,0,0,0.0407331975560081,0.00872854233343032,0.0116380564445738,0.00290951411114344,0,0,0.00290951411114344,0,0,0,0,0,0,0,0,0.0145475705557172,0.0174570846668606,0.00872854233343032,0,0,0.00290951411114344,0.0145475705557172,0,0,0,0,0,0,0,0,0.0552807681117253,0.0174570846668606,0.00872854233343032,0,0,0,0,0,0,0.0407331975560081,0,0,0.00581902822228688,0.000290951411114344,0.026185627000291,0,0,0,0.0349141693337213,0.00872854233343032,0.000290951411114344,0,0,0,0,0,0,1117,NA,NA
"1250",0,0,0.113452188006483,0.00405186385737439,0,0,0.0324149108589951,0,0.0567260940032415,0.020259319286872,0.0162074554294976,0.0182333873581848,0.020259319286872,0.00405186385737439,0,0,0,0.133711507293355,0.00405186385737439,0.222852512155592,0.00405186385737439,0,0.00405186385737439,0.00405186385737439,0,0.0607779578606159,0.00405186385737439,0,0,0.00405186385737439,0.0769854132901134,0,0.00405186385737439,0.000405186385737439,0.0486223662884927,0,0,0,0,0,0,0.00405186385737439,0,0,0,0.00405186385737439,0,0,0,0.0162074554294976,0.0121555915721232,0,0,0,0.000405186385737439,0,0.00405186385737439,0,0,0.00810372771474878,0,0.000405186385737439,0,0,0.020259319286872,0,0,0,0,0,0,0,0,0.0162074554294976,0,0,0,0,0.0121555915721232,0,0.0121555915721232,0,0.0243111831442464,0.00810372771474878,0,0,0,0,0,0,0,1293,NA,NA
"1381",0,0.000500250125062531,0.137568784392196,0.00250125062531266,0,0,0.0150075037518759,0,0.0650325162581291,0.0525262631315658,0.00500250125062531,0.0325162581290645,0.00500250125062531,0.0100050025012506,0,0,0,0.120060030015008,0,0.190095047523762,0,0,0,0.000500250125062531,0,0.0600300150075038,0,0,0,0,0.0900450225112556,0,0,0,0.0650325162581291,0,0.000500250125062531,0.000500250125062531,0,0.000500250125062531,0,0.00500250125062531,0,0,0,0,0,0,0,0.00500250125062531,0.000500250125062531,0.00500250125062531,0,0,0.000500250125062531,0,0.0100050025012506,0,0.000500250125062531,0,0,0,0,0,0.0150075037518759,0,0,0,0,0,0,0,0,0.0300150075037519,0,0,0.00500250125062531,0,0,0,0.000500250125062531,0,0.0600300150075038,0.0100050025012506,0,0,0,0,0,0,0,1412,NA,NA
"1577",0,0.000484027105517909,0.111326234269119,0.0193610842207164,0,0,0.0290416263310745,0,0.0242013552758954,0.0435624394966118,0.0242013552758954,0.05324298160697,0.0242013552758954,0,0,0,0,0.116166505324298,0,0.222652468538238,0,0,0.000484027105517909,0.00484027105517909,0,0.0484027105517909,0.000484027105517909,0,0,0,0.0242013552758954,0,0,0,0.0435624394966118,0,0,0,0,0,0,0.00484027105517909,0,0.000484027105517909,0.00484027105517909,0,0,0.00484027105517909,0,0.0145208131655373,0,0.00968054211035818,0,0,0,0,0.000484027105517909,0,0,0,0,0,0,0,0.0145208131655373,0,0,0,0,0,0,0,0,0.0677637947725073,0.00484027105517909,0.00968054211035818,0,0,0.0193610842207164,0,0,0,0.0387221684414327,0.0145208131655373,0,0.000484027105517909,0,0,0,0,0,1592,NA,NA
"1774",0,0,0.0794551645856981,0.0151343170639425,0,0,0.0227014755959137,0,0.0529701097237987,0.030268634127885,0.0113507377979569,0.0264850548618994,0.0113507377979569,0.0151343170639425,0,0,0,0.06053726825577,0,0.223231176693152,0,0,0.00378357926598562,0,0,0.0264850548618994,0,0,0,0.00756715853197124,0.124858115777526,0,0.00378357926598562,0,0.030268634127885,0,0.0151343170639425,0,0,0.000378357926598562,0,0.000378357926598562,0,0.00378357926598562,0,0.00756715853197124,0,0,0,0.00756715853197124,0.0264850548618994,0,0.00378357926598562,0,0.00378357926598562,0,0.00378357926598562,0,0,0,0,0,0,0.000378357926598562,0.0151343170639425,0,0,0,0,0,0,0,0,0.06053726825577,0,0.00378357926598562,0.0151343170639425,0,0.00756715853197124,0,0.00378357926598562,0,0.0529701097237987,0.0189178963299281,0.00378357926598562,0,0,0,0,0,0,1782,NA,NA
"1905",0,0,0.0895316804407714,0.0172176308539945,0.0068870523415978,0.0034435261707989,0.0172176308539945,0,0.0447658402203857,0.0103305785123967,0.0034435261707989,0,0.0103305785123967,0.0275482093663912,0,0,0,0.0998622589531681,0.0068870523415978,0.320247933884298,0,0.0034435261707989,0.0034435261707989,0,0,0.0103305785123967,0,0,0,0.0103305785123967,0.0860881542699725,0,0,0,0.0068870523415978,0,0.0034435261707989,0,0,0,0,0,0,0,0,0,0,0,0,0.0206611570247934,0,0,0,0,0.0034435261707989,0,0,0,0,0,0,0,0,0,0.0034435261707989,0.0206611570247934,0.0034435261707989,0,0.00034435261707989,0,0,0,0,0.0482093663911846,0.00034435261707989,0.0103305785123967,0.0034435261707989,0,0,0,0,0.0068870523415978,0.0929752066115703,0,0.0034435261707989,0,0.00034435261707989,0,0,0,0.00034435261707989,1840,NA,NA
