"","Amaranthaceae","Asteraceae.tubuliflorae","Asteraceae.liguliflorae","Cyperaceae","Poaceae","Pinus","Artemisia","Centaurea","Cirsium.type","Rosaceae","Brassicaceae","Apiaceae","Morella.Corylus.","Cannabaceae.Ostrya","Rumex","Betula","Fraxinus","Oleaceae","Salix","Solanaceae","Acacia","Picea","Juglans","Rubiaceae","CV.1","Ericaceae","Euphorbiaceae","Fabaceae","Moraceae","Ficus.type","Ilex","Lamiaceae","Alnus","Verbenaceae","CV.2","Quercus","Cerealia.type","Zea.mays","Carex","Urticaceae","Caryophyllaceae","Sapotaceae.type","Agavoideae","Convolvulus","Cal_yrs_BP","min","max"
"V21",0.165137614678899,0.197247706422018,0.119266055045872,0.188073394495413,0.188073394495413,0.0963302752293578,0.0137614678899083,0,0,0.00458715596330275,0,0,0,0,0,0,0,0,0.00458715596330275,0,0,0,0,0,0,0,0,0.00458715596330275,0,0.0137614678899083,0,0,0,0,0,0,0,0.00458715596330275,0,0,0,0,0,0,785.5,NA,NA
"V22",0.161157024793388,0.165289256198347,0.0909090909090909,0.214876033057851,0.0785123966942149,0.115702479338843,0.103305785123967,0.00413223140495868,0.00826446280991736,0,0.00413223140495868,0.00413223140495868,0.012396694214876,0,0,0,0.00826446280991736,0,0,0,0.00826446280991736,0,0.00413223140495868,0,0,0,0,0,0,0.012396694214876,0,0,0.00413223140495868,0,0,0,0,0,0,0,0,0,0,0,806,NA,NA
"V23",0,0.782178217821782,0.0396039603960396,0,0.118811881188119,0,0,0,0.0198019801980198,0,0,0,0,0.0099009900990099,0,0,0.0099009900990099,0.0099009900990099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0099009900990099,0,0,0,0,0,0,0,0,0,0,0,855.5,NA,NA
"V24",0.00423728813559322,0.860169491525424,0.0296610169491525,0,0.0635593220338983,0.00423728813559322,0.00423728813559322,0,0,0,0.00847457627118644,0.00847457627118644,0.00423728813559322,0,0,0,0.00423728813559322,0,0.00423728813559322,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00423728813559322,0,0,0,0,0,0,0,0,0,0,0,875,NA,NA
"V25",0.0346153846153846,0.461538461538462,0.05,0.0115384615384615,0.307692307692308,0.00384615384615385,0.0423076923076923,0,0.00384615384615385,0.00384615384615385,0.0153846153846154,0.0192307692307692,0.00769230769230769,0.00384615384615385,0,0,0.00384615384615385,0.00384615384615385,0,0,0,0,0,0.00384615384615385,0,0,0.00384615384615385,0,0.00769230769230769,0.00769230769230769,0,0,0.00384615384615385,0,0,0,0,0,0,0,0,0,0,0,893.5,NA,NA
"V26",0.0181818181818182,0.286363636363636,0.0272727272727273,0.0227272727272727,0.422727272727273,0.00909090909090909,0.0681818181818182,0,0,0,0.0136363636363636,0.0363636363636364,0.0227272727272727,0,0.00454545454545455,0,0,0,0,0,0,0,0,0,0,0,0.00454545454545455,0.00454545454545455,0,0,0,0,0.0363636363636364,0,0.00909090909090909,0.00909090909090909,0,0,0,0,0.00454545454545455,0,0,0,939,NA,NA
"V27",0.0760869565217391,0.423913043478261,0.0760869565217391,0.119565217391304,0.152173913043478,0.0652173913043478,0.0434782608695652,0,0.0108695652173913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0108695652173913,0,0.0217391304347826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,960,NA,NA
"V28",0,0.842592592592593,0.00925925925925926,0,0.0925925925925926,0,0.00925925925925926,0,0,0,0.00925925925925926,0.0185185185185185,0,0,0,0,0.00925925925925926,0,0,0.00925925925925926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,980,NA,NA
"V29",0,0.56043956043956,0.0476190476190476,0.00732600732600733,0.296703296703297,0,0.0293040293040293,0,0,0,0.010989010989011,0.032967032967033,0.00366300366300366,0,0,0,0.00366300366300366,0,0,0,0,0,0,0,0,0,0.00366300366300366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00366300366300366,0,0,1043,NA,NA
"V30",0.0159235668789809,0.668789808917197,0.0382165605095541,0.00955414012738853,0.17515923566879,0,0.0318471337579618,0,0,0,0.0159235668789809,0.0382165605095541,0.00318471337579618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00318471337579618,0,0,0,0,0,0,0,0,0,1086,NA,NA
