 ,Cal_yrs_BP,max,min,Acacia,Acalypha,Adiantum,Agavoideae,Alisma,Alnus,Alternanthera,Amaranthaceae undiff.,Ambrosia-type,Amyris,Anacardiaceae undiff.,Annona-type,Antigonon,Antirhea,Apiaceae,Apocynaceae undiff.,Arecaceae undiff.,Asteraceae (large),Asteroideae (high spine),Asteroideae (low spine),Avicennia,Bumelia,Bursera,Buxus,Caesalpinia,Campyloneurum phyllitidis,Capparis,Capraria,Caryophyllaceae,Casasia,Casearia,Castanea,Casuarina,Celtis,Ceratopteris,Cichorioideae,Coccoloba,Commelina,Conocarpus,Convolvulaceae undiff.,Corchorus,Cordia,Crossopetalum,Crotalaria,Cupressaceae,Cyperaceae,Dalbergia,Desmodium,Dodonaea-type,Echinodorus,Echites,Erithalis,Ernodea,Erythrina,Euphorbia,Exostema,Exothea,Faboideae undiff.,Ficus,Fungi undiff.,Gochnatia,Guaiacum,Guapira,Guettarda,Hedyotis,Helianthus-type,Heliotropium,Ilex,Indeterminable,Ipomoea,Isoetes,Laguncularia,Lamiaceae,Lantana,Lemna,Leucaena,Liliaceae,Linum,Ludwigia,Lycopodium spike,Lycopodium tablets,Lycopodium tablets,Lycopodium tablets,Malpighiaceae undiff.,Malvaceae undiff.,Manilkara,Mascagnia,Maytenus,Metopium,Moraceae undiff.,Myrica,Myrsine,Myrtaceae,Onagraceae undiff.,Passiflora,Phlebodium aureum,Phyllanthus,Pinus,Plantago,Poaceae (Cerealia),Poaceae undiff.,Polypodium,Pouteria,Pteris,Rachicallis,Ravenea,Rhamnaceae,Rhizophora,Sabal,Sapotaceae undiff.,Schinus,Sesuvium,Solanaceae,Spermacoce,Sporormiella,Stemodia,Strumpfia,Swietenia,Tabebuia,Tecoma,Teramnus,Tetrazygia,Thouinia,Tillandsia,Tournefortia,Trema,Tsuga,Typha angustifolia-type,Ulmus,Unknown (trilete),Unknown (type A),Unknown (type B),Unknown (type C),Unknown (type E),Unknown (type F),Unknown (type G),Unknown (type H),Unknown (type I),Unknown (type J),Unknown (type K),Unknown (type L),Unknown (type M),Unknown (type N),Unknown (type O),Unknown (type P),Unknown (type Q),Unknown (type R),Unknown (type S),Unknown (type T),Unknown undiff.,Urena,Urticaceae,Vitaceae,Zanthoxylum,Zea mays,cf. Alnus,cf. Artemisia,cf. Carya,cf. Pistacia,cf. Quercus,cf. Tripsacum
,426,571,251,,,1,,,,,,12,,,,,,,,1,,1,2,,,,,,,12,,,,,,,,,,,,41,,,,,,195,,,,,,,2,1,,,,,,,,,,,,,,,7,20,,,35,,,,,,,,231,2,12542,124961,,,,,1,,,1,,19,,,1,1,58,,,,1,,1,,,,2,,,,,,,,,,,,2,,3,,,,7,,,,1,,,6,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,
,452,604,265,6,,,,,,,1,2,,9,,,,2,,2,,4,,,2,1,,,,7,,,,,,,,,,,,21,,,,,,63,4,,,,,,,,,,,,2,,10,,,,,,,,1,10,,2,,,,,,,,,122,2,12542,124961,,,,,,,,9,,7,,,,,210,,,2,,,,5,,,2,,1,,,3,,10,,,,,,,,,,,18,,2,,5,,,,,,,,,,,,,,,,,,,,10,,4,,,,,,,,,
,465,623,270,,,,,,,,1,,,4,,,1,,,,,2,,1,5,1,,,,,1,,,,,,,,,1,,16,,,,,,151,1,2,,,,,,,,,,,,,,,1,,,,,,4,13,,,4,,,,1,,,,174,2,12542,124961,,,1,,,,,8,,14,,,,,141,,,1,,,1,1,1,,2,,,,5,,,,,,,,,,1,,,,34,,,,1,,,,,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,
,480,627,301,2,,,,,,,1,3,,1,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,24,,,,,,176,3,1,,,,,,,,3,,,14,,,,1,,,,,,,14,,,25,,,,,,,,142,2,12542,124961,,,,,,,,9,,9,,,1,,119,,,1,1,,,4,,,1,,2,,,1,,,,,,,3,,,,,,36,,2,,2,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,1,
,510,632,360,,,,,,,,1,5,,3,,,,,,,,1,,,,,,,,,,,,,,,,,,,,20,,,,,,38,1,,,,,,,,,13,,,9,,,,1,,,,,,,7,,,28,,,1,,4,,,141,2,12542,124961,,,,,,,,11,,15,,,,,248,,,,1,,,1,,,,,,,,2,,,,,,,1,,,,,,40,,2,,1,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
,540,640,415,3,,,,,,,1,,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,14,,,,,,60,1,,1,,,,,,,16,,,4,,,,,,,,,,,8,,,5,,,3,,,,,145,2,12542,124961,,,,,,1,,12,,9,,,2,,263,,,,,,,,,,1,,1,,,,,,1,,,,,,1,,,,49,,,,11,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,1,
,570,649,466,3,1,,,,,,1,,,21,,,,,,,,,,,,6,,,,,,,,,,,,,,1,,3,,,,,,2,,,1,,,,,,,,,,19,,,,2,,,,,,,17,,,10,,,,,1,,,219,2,12542,124961,,,,,,1,,19,,1,,,,,283,,,2,,,,2,,,,,18,,,3,,,2,,,,5,,,,,,6,,4,,26,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,601,663,509,10,,,,,,,,1,,6,,,,,,2,,1,,,2,5,1,,,2,,,,,,,1,,,1,,21,,,,,,13,4,,1,,,,6,,,,1,,2,,,,5,,,,,,2,11,,,8,,,6,,,,,109,2,12542,124961,,,,,,,,3,,8,,,,,307,,,,2,6,,,,,,,,,6,1,,,,,1,,,,2,,,,12,,4,,2,,,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,634,685,555,12,1,,,,,,2,18,,19,,,,,,,,7,10,,,,,,,,,,,,,,,,,,,34,,,,,,5,1,,,,,,1,,,1,,,10,,,,3,,,,,,,8,,,94,,,2,,,,,306,2,12542,124961,,,,,,,,5,,29,,,,,131,,,,2,,,1,,,,,3,,,2,,,1,,,,1,,,,,,25,,3,,31,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,1,
,669,724,590,20,1,,,,,,1,2,,22,,,,,,,,5,17,,,2,,,,,,,,,,,,,,,,55,,,,,,,2,,,1,,,,,,,,,13,,,,2,,,,1,,,7,1,,26,,,1,,,,,206,2,12542,124961,,,,,,2,,17,,18,,,,,182,,,1,4,,,1,,,2,,4,,,5,,,1,,,,,,2,,,,18,,4,,10,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,
